	en	fr	es	el	it	ar	de
close	Close	Fermer	Cerrar	Κλείσε	Chiudere	إغلاق	Schließen
archived	Channel is Archived!	La chaîne est archivée!	El canal está archivado!	Το κανάλι έχει αρχειοθετηθεί!	Il canale è archiviato!	القناة  مؤرشفة	Kanal ist archiviert!
badrequest	Bad Request!	Mauvaise Demande!	¡Solicitud incorrecta!	Κακό Αίτημα!	Richiesta incorretta!	طلب سيء!	Ungültige Anforderung!
forbidden	Forbidden!	Interdit!	¡Prohibido!	Απαγορευμένο!	Proibito!	ممنوع!	Verboten!
internal	Server Error!	Erreur du serveur!	¡Error del Servidor!	Σφάλμα Διακομιστή!	Errore del server!	خطأ في الخادم!	Serverfehler!
notfound	Channel Not Found!	Chaîne introuvable!	¡Canal no encontrado!	Κανάλι δεν βρέθηκε!	Canale non trovato!	لم يتم العثور على القناة!	Kanal nicht gefunden!
unexpected	Unexpected error!	Erreur inattendue!	¡Error inesperado!	Απρόσμενο σφάλμα!	Errore inaspettato!	خطأ غير متوقع!	Unerwarteter Fehler!
improvement	Improvement	Amélioration	Mejora	Βελτίωση	Miglioramento	تحسين	Verbesserung
bug	Bug	Bug	Bug	Σφάλμα	Bug	خلل	Bug
feature	Feature	Fonctionnalité	Característica	Χαρακτηριστικό	Caratteristica	ميزة	Besonderheit
title	Send Feedback	Envoyer un commentaire	Enviar un comentario	Στείλετε τα σχόλιά σας	Invia feedback.	ارسل انطباعك	Feedback abschicken
remove	Remove	Retirer	Eliminar	Αφαίρεσε	Rimuovere	إزالة	Entfernen
message	Message	Message	Mensaje	Μήνυμα	Messaggio	رسالة	Nachricht
type	Feedback type	Type de commentaire	Tipo de Comentarios	Τύπος σχολίων	Tipo di feedback	نوع الانطباع	Feedback-Art
placeholder	Your message... Add your email if you want us to contact you	Votre message ... Ajoutez votre email si vous souhaitez que nous vous contactions	Su mensaje ... Agregue su correo electrónico si desea que nos comuniquemos con usted	Το μήνυμά σας ... Προσθέστε το e-mail σας αν θέλετε να επικοινωνήσουμε μαζί σας	Il tuo messaggio ... Aggiungi la tua email se vuoi essere contattato	رسالتك... أضف بريدك الإلكتروني إذا كنت تريد منا التواصل معك	Ihre Nachricht ... fügen Sie Ihre E -Mail hinzu, wenn Sie möchten, dass wir Sie kontaktieren
sending	Sending feedback...	Envoi de commentaires ...	Enviando comentarios ...	Αποστολή σχολίων ...	Invio di feedback ...	إرسال ردود الفعل...	Feedback senden ...
sent	Sent!	Envoyé!	Expedido!	Εστάλη!	Inviato!	تم الإرسال	Gesendet!
submit_text	Send Feedback	Envoyer des commentaires	Enviar comentarios	Στείλετε τα σχόλιά σας	Invia feedback.	ارسل انطباعك	Feedback abschicken
button	Feedback	Feedback	Feedback	Σχόλια	Feedback	التغذية الراجعة	Rückmeldung
email	Email	E-mail	E-mail	ηλεκτρονικό ταχυδρομείο	E-mail	البريد الإلكتروني	Email
email_error	Please enter a valid email address	Veuillez saisir une adresse e-mail valide	Por favor, introduzca una dirección de correo electrónico válida	Παρακαλώ εισάγετε μια έγκυρη διεύθυνση email	Si prega di inserire un indirizzo email valido	الرجاء إدخال عنوان بريد إلكتروني صحيح	Bitte geben Sie eine gültige E-Mail-Adresse ein
