	en	fr	es	el
sna_time_chart_title	Propagation timeline	Frise chronologique de propagation	Línea de tiempo de propagación	Χρονοδιάγραμμα διάδοσης
sna_local_time	Local time	Heure locale	Hora local	Τοπική ώρα
shared_cloud_chart_title	Most shared users	Utilisateurs les plus partagés	Usuarios más compartidos	Οι περισσότεροι από κοινού οι χρήστες
likes_cloud_chart_title	Most liked users	Utilisateurs les plus likés	La mayoría de los usuarios gustado	Χρήστες που εχουν γίνεi περισσότερο like
top_users_pie_chart_title	Most active users	Utilisateurs les plus actifs	Usuarios más activos	Πιο ενεργοί χρήστες
mention_cloud_chart_title	Most mentioned accounts	Compte les plus mentionnés	Usuarios más mencionados	Λογαριασμοί που έχουν αναφερθεί πιο πολύ
ct_heatmap_chart_title	Heatmap of posts distribution	Heatmap de distribution de messages	Heatmap de la distribución de mensajes	Θερμικός χάρτης της διανομής των δημοσιεύσεων
ct_counter_title	Logistics	Logistique	logística	Επιμελητεία
ct_sna_publications	Publications	Publications	Publicaciones	δημοσιεύσεις
ct_sna_total_interactions	Total interactions	Total des interactions	Interacciones totales	Σύνολο αλληλεπιδράσεων
ct_sna_likes	Likes	Likes	Likes	Likes
ct_sna_comments	Comments	Commentaires	Comentarios	Σχόλια
ct_sna_shares	Shares	Shares	Shares	Shares
ct_sna_no_data	No data available	Aucune donnée disponible	Datos no disponibles	Δεν υπάρχουν διαθέσιμα δεδομένα
ct_sna_result_date	Date	Date	Fecha	Ημερομηνία
ct_sna_result_username	Username	Nom d'utilisateur	Nombre de usuario	Όνομα χρήστη
ct_sna_result_post	Post description	Description du message	Descripción de la publicación	περιγραφή δημοσίευσης
ct_sna_total_interactions	Total interactions	Total des interactions	Interacciones totales	Σύνολο αλληλεπιδράσεων
ct_user_time_chart_title	Propagation timeline	Frise chronologique de propagation	Línea de tiempo de propagación	Χρονοδιάγραμμα διάδοσης
