	en	fr	es	el	it	ar	de
afp_part_1	Provided by 	Fourni par le 	Proporcionado por 	Παρέχεται από	Fornito da 	مقدمة من قبل 	Zur Verfügung gestellt von 
afp_link	https://www.afp.com/en/medialab	https://www.afp.com/en/medialab	https://www.afp.com/en/medialab	https://www.afp.com/en/medialab	https://www.afp.com/en/medialab	https://www.afp.com/en/medialab	https://www.afp.com/en/medialab
afp_link_label	AFP Medialab	Medialab de l'AFP	AFP Medialab	AFP Medialab	AFP Medialab	AFP Medialab	AFP Medialab
afp_part_2	To contact us, use the feedback tool.	Pour nous contacter, utilisez l'outil de feedback.	Para ponerse en contacto con nosotros, utilice la herramienta de feedback.	Για να επικοινωνήσετε μαζί μας, χρησιμοποιήστε το εργαλείο σχολίων.	Per contattarci, utilizzare lo strumento Feedback.	للاتصال بنا، استخدم أداة التغذية الراجعة.	Verwenden Sie das Feedback-Tool, um uns zu kontaktieren.
iti_part_1	Provided by 	Fourni par le 	Proporcionado por 	Παρέχεται από	Fornito da 	مقدمة من قبل 	Zur Verfügung gestellt von 
iti_link	https://www.certh.gr/root.en.aspx	https://www.certh.gr/root.en.aspx	https://www.certh.gr/root.en.aspx	https://mklab.iti.gr/	https://mklab.iti.gr/	https://www.certh.gr/root.en.aspx	https://www.certh.gr/root.en.aspx
iti_link_label	ITI CERTH	ITI CERTH	ITI CERTH	ΙΠΤΗΛ/ΕΚΕΤΑ	ITI CERTH	ITI CERTH	ITI CERTH
iti_part_2	To contact us, use the feedback tool.	Pour nous contacter, utilisez l'outil de feedback.	Para ponerse en contacto con nosotros, utilice la herramienta de feedback.	Για να επικοινωνήσετε μαζί μας, χρησιμοποιήστε το εργαλείο σχολίων.	Per contattarci, utilizzare lo strumento Feedback.	للاتصال بنا، استخدم أداة التغذية الراجعة.	Verwenden Sie das Feedback-Tool, um uns zu kontaktieren.
GRIHO_part_1	Provided by the GRIHO Research Group © 2018 Universitat de Lleida	Fourni par le groupe de recherche GRIHO © 2018 Universitat de Lleida	Proporcionado por el Grupo de Investigación GRIHO © 2018 Universitat de Lleida	Παρέχεται από την ερευνητική ομάδα GRIHO © 2018 Universitat de Lleida	Fornito dal Gruppo Griho Research Group © 2018 Universitat de Lleida	Griho Research Group © 2018 Universitat de Lleida :مقَدمة من مجموعة	Bereitgestellt von der Griho Research Group © 2018 Universitat de Leida
GRIHO_part_2	Contact:	Contacter:	Contactar:	Επικοινωνία:	Contatto:	اتصل بنا:	Kontakt:
GRIHO_email	invid@udl.cat	invid@udl.cat	invid@udl.cat	invid@udl.cat	invid@udl.cat	invid@udl.cat	invid@udl.cat
and	and 	et 	y 	και	e 	و 	und 
usfd_part_1	Provided by	Fourni par le	Proporcionado por	Παρέχεται από	Fornito da	مقدمة من قبل	Zur Verfügung gestellt von
usfd_link	https://gate.ac.uk/	https://gate.ac.uk/	https://gate.ac.uk/	https://gate.ac.uk/	https://gate.ac.uk/	https://gate.ac.uk/	https://gate.ac.uk/
usfd_link_label	USFD	USFD	USFD	USFD	USFD	USFD	USFD
usfd_part_2	To contact us, use the feedback tool.	Pour nous contacter, utilisez l'outil de feedback.	Para ponerse en contacto con nosotros, utilice la herramienta de feedback.	Για να επικοινωνήσετε μαζί μας, χρησιμοποιήστε το εργαλείο σχολίων.	Per contattarci, utilizzare lo strumento Feedback.	للاتصال بنا، استخدم أداة التغذية الراجعة.	Verwenden Sie das Feedback-Tool, um uns zu kontaktieren.
eudisinfolab_link	https://www.disinfo.eu/	https://www.disinfo.eu/	https://www.disinfo.eu/	https://www.disinfo.eu/	https://www.disinfo.eu/	https://www.disinfo.eu/	https://www.disinfo.eu/
eudisinfolab_link_label	EU DisinfoLab	EU DisinfoLab	EU DisinfoLab	EU DisinfoLab	EU DisinfoLab	EU DisinfoLab	EU Disinfolab
borelli_part_1	Provided by	Fourni par le	Proporcionado por	Παρέχεται από	Fornito da 	مقدمة من قبل	Zur Verfügung gestellt von
borelli_link	https://ens-paris-saclay.fr/en/research/research-laboratories/centre-borelli	https://ens-paris-saclay.fr/recherche/laboratoires-et-instituts/centre-borelli	https://ens-paris-saclay.fr/recherche/laboratoires-et-instituts/centre-borelli	https://ens-paris-saclay.fr/en/research/research-laboratories/centre-borelli	https://ens-paris-saclay.fr/en/research/research-laboratories/centre-borelli	https://ens-paris-saclay.fr/en/research/research-laboratories/centre-borelli	https://ens-paris-saclay.fr/en/research/research-laboratories/centre-borelli
borelli_link_label	Borelli Center	Centre Borelli	Centro Borelli	Borelli Center	Borelli Center	Borelli Center	Borelli Center
borelli_part_2	To contact us, use the feedback tool.	Pour nous contacter, utilisez l'outil de feedback.	Para ponerse en contacto con nosotros, utilice la herramienta de feedback.	Για να επικοινωνήσετε μαζί μας, χρησιμοποιήστε το εργαλείο σχολίων.	Per contattarci, utilizzare lo strumento Feedback.	للاتصال بنا، استخدم أداة التغذية الراجعة.	Verwenden Sie das Feedback-Tool, um uns zu kontaktieren.
unina_link_label	GRIP UNINA	GRIP UNINA	GRIP UNINA	GRIP UNINA	GRIP UNINA	GRIP UNINA	GRIP UNINA
unina_link	https://www.grip.unina.it	https://www.grip.unina.it	https://www.grip.unina.it	https://www.grip.unina.it	https://www.grip.unina.it	https://www.grip.unina.it	https://www.grip.unina.it
loccus_link_label	Loccus	Loccus	Loccus	Loccus	Loccus	Loccus	Loccus
loccus_link	https://www.loccus.ai/#request-access	https://www.loccus.ai/#request-access	https://www.loccus.ai/#request-access	https://www.loccus.ai/#request-access	https://www.loccus.ai/#request-access	https://www.loccus.ai/#request-access
kinit_link_label	KInIT	KInIT	KInIT	KInIT	KInIT	KInIT	KInIT
kinit_link	https://kinit.sk	https://kinit.sk	https://kinit.sk	https://kinit.sk	https://kinit.sk	https://kinit.sk	https://kinit.sk
