	en	fr	es	el
ct_sna_timeline_tip	Timeline of the posts and shares retrieved from your query. You can zoom into the timeline with the slider below. You can check the peaks of propagation (calculated as a sum of all shares per day).	Chronologie des posts extraits de votre requête. Vous pouvez zoomer dans la frise chronologique avec le curseur en dessous. Vous pouvez vérifier les pics de propagation (calculés comme une somme de tous les shares par jour).	Línea de tiempo de los posts recuperados con su consulta. Puede hacer un zoom en la línea de tiempo con el deslizador de la parte inferior. Puede comprobar los picos de propagación (calculados como la suma de todos los shares por día).	Χρονοδιάγραμμα των posts που ανακτήθηκαν από το ερώτημά σας. Μπορείτε να κάνετε ζουμ στο χρονοδιάγραμμα με το ρυθμιστικό παρακάτω. Μπορείτε να ελέγξετε τις κορυφές διάδοσης (υπολογίζονται ως άθροισμα όλων των shares ανά ημέρα).
twittersna_tweetnb_tip	Metrics retrieved for your query. If you want to assess the newsworthiness of your query, you can compare with Twitter trends : https://twitter.com/i/trends	Mesures correspondants à votre requête. Si vous voulez vérifier l'intérêt journalistique et la viralité de votre requête, vous pouvez comparer avec les tendances Twitter : https://twitter.com/i/trends	Medidas correspondiente a su búsqueda. Si quiere evaluar el interés periodístico o la viralidad de su búsqueda, puede comparar con las tendencias Twitter : https://twitter.com/i/trends	Mετρήσεις που ανακτήθηκαν για το ερώτημά σας. Αν θέλετε να αξιολογήσετε την αξιοπιστία του ερωτήματός σας, μπορείτε να συγκρίνετε με τις τάσεις του Twitter: https://twitter.com/i/trends
ct_sna_most_retweet_tip	This Doughnut-chart shows the top 20 shared users with their number of shares. Click on a doughnut segment to see the corresponding posts.	Ce graphique montre les 20 utilisateurs les plus retweetés avec leur nombre de shares. Cliquez sur un segment pour voir les posts correspondants.	Este gráfico muestra los 20 usuarios más activos con su número de shares. Haz clic en un segmento para ver los posts correspondientes.	Αυτό το γράφημα πίτας δείχνει τους 20 κορυφαίους χρήστες που έχουν πραγματοποιήσει retweet με τον αριθμό των shares. Κάντε κλικ σε ένα τμήμα πίτας για να δείτε τα αντίστοιχα posts.
ct_sna_most_likes_tip	This Doughnut-chart shows the top 20 users with most liked posts and their number of likes. Click on a doughnut segment to see the corresponding posts.	.Ce graphique montre les 20 meilleurs utilisateurs dont les messages ont été les plus appréciés ainsi que leur nombre de `` j'aime ''. Cliquez sur un segment pour voir les posts correspondants.	Este gráfico muestra los 20 usuarios principales cuyas publicaciones han sido más apreciadas por su número de ''me gusta''. Haz clic en un segmento para ver los posts correspondientes.	Αυτό το γράφημα πίτας δείχνει τους 20 πρώτους χρήστες με τις πιο δημοφιλείς αναρτήσεις και τον αριθμό των ετικετών "like". Κάντε κλικ σε ένα τμήμα πίτας για να δείτε τα αντίστοιχα posts.
ct_sna_most_active_tip	This Doughnut-chart shows the top 20 most active users with their number of posts. Click on a doughnut segment to see the corresponding posts.	Ce graphique montre les 20 premiers utilisateurs les plus actifs avec leur nombre de posts. Cliquez sur un segment pour voir les posts correspondants.	Este gráfico muestra los 20 primeros usuarios más activos con su número de posts. Haz clic en un segmento para ver los posts correspondientes.	Αυτό το γράφημα πίτας δείχνει τους 20 πιο ενεργούς χρήστες με τον αριθμό των posts τους. Κάντε κλικ σε ένα τμήμα πίτας για να δείτε τα αντίστοιχα posts.
ct_sna_most_mentions_tip	This Doughnut-chart shows the 20 top most mentioned users with their number of mentions. Click on a doughnut segment to see the corresponding posts.	Ce graphique montre les 20 utilisateurs les plus cités avec leur nombre de mentions. Cliquez sur un segment pour voir les posts correspondants.	Este gráfico muestra los 20 usuarios más mencionados con su número de menciones. Haga clic en un segmento para ver los posts correspondientes.	Αυτό το γράφημα πίτας δείχνει τους 20 κορυφαίους χρήστες που έχουν γίνει αναφορά με τον αριθμό των αναφορών τους. Κάντε κλικ σε ένα τμήμα πίτας για να δείτε τα αντίστοιχα posts.
twittersna_heatmap_tip	The heatmap shows activity per hour. Darker squares show more activity. It may help you to detect bots or coordinated behaviour. Click on a square to see the corresponding posts.	Le graphique indique l'activité par heure. Les carrés plus foncés indiquent une activité plus importante. Cela peut vous aider à détecter les bots ou les comportements coordonnés. Cliquez sur une case pour voir les posts correspondants.	El mapa de calor muestra la actividad por hora. Los cuadros más oscuros muestran más actividad. Puede ayudarte a detectar bots o el comportamiento Haz clic en un cuadrado para ver los posts correspondientes.	Ο χάρτης θερμότητας δείχνει τη δραστηριότητα ανά ώρα. Τα πιο σκοτεινά τετράγωνα δείχνουν περισσότερη δραστηριότητα. Μπορεί να σας βοηθήσει να εντοπίσετε ρομπότ ή συντονισμένη συμπεριφορά. Κάντε κλικ σε ένα τετράγωνο για να δείτε τα αντίστοιχα posts.
twittersna_hashtag_graph_tip	This graphs shows you the hashtags (and their numbers) retrieved with their co-occurrences between them. Thicker edges show more co-occurences between the hashtags. You can see the corresponding posts by clicking on a node. If you want to see the intersection of two nodes, click on the bigger node then type the second hashtag in the search box.	Ce graphique vous montre les hashtags (et leur nombre) récupérés avec leurs cooccurrences entre eux. Plus un arc est épais, plus il montre de co-occurrences entre les hashtags. Vous pouvez voir les posts correspondants en cliquant sur un nœud. Si vous voulez voir l'intersection de deux nœuds, cliquez sur le plus gros nœud puis écrivez le deuxième hashtag dans la boîte de recherche.	Este gráfico muestra los hashtags (y sus números) recuperados con sus co-ocurrencias entre ellos. Los enlaces más gruesos muestran más co-ocurrencias entre los hashtags. Puedes ver los posts correspondientes clicqueando en un nodo. Si quiere ver la intersección de dos nodos, haga clic en el nodo más grande y luego escriba el segundo hashtag en el cuadro de búsqueda.	Σε αυτά τα γραφήματα εμφανίζονται τα hashtag (και οι αριθμοί τους) που ανακτήθηκαν με τις συν-εμφανίσεις τους μεταξύ τους. Τα παχύτερα άκρα δείχνουν περισσότερες συν-εμφανίσεις μεταξύ των hashtags. Μπορείτε να δείτε τα αντίστοιχα posts κάνοντας κλικ σε έναν κόμβο. Εάν θέλετε να δείτε τη διασταύρωση δύο κόμβων, κάντε κλικ στον μεγαλύτερο κόμβο και, στη συνέχεια, πληκτρολογήστε το δεύτερο hashtag στο πλαίσιο αναζήτησης.
twittersna_wordcloud_tip	This word cloud shows you the top words used in the post collection of your query (without the query words). You can click on each word to see the corresponding posts.	Ce nuage mot vous montre les top mots utilisés dans la collection après de votre requête (sans les mots de la requête). Vous pouvez cliquer sur chaque mot pour voir les messages correspondants.	Esta palabra nube muestra las palabras más utilizados en la recogida posterior de la consulta (sin las palabras de consulta). Puede hacer clic en cada palabra para ver los mensajes correspondientes.	Αυτή η λέξη σύννεφο που δείχνει τις λέξεις κορυφή χρησιμοποιηθεί στη θέση συλλογής του ερωτήματός σας (χωρίς τις λέξεις ερωτήματος). Μπορείτε να κάνετε κλικ σε κάθε λέξη για να δείτε τις αντίστοιχες θέσεις.
twittersna_urls_tip	Sorted list of most shared urls in the collection of posts. You can relaunch a Facebook CSV query by submitting a new CSV file.	liste triée des urls plus partagés dans la collection de postes. Vous pouvez relancer une requête CSV Facebook en soumettant un nouveau fichier CSV.	lista ordenada de URL más comunes en la colección de mensajes. Puede relanzar una consulta Facebook CSV mediante la presentación de un nuevo archivo CSV.	Ταξινομημένη λίστα των πιο κοινόχρηστο urls στη συλλογή των θέσεων. Μπορείτε να ξαναρχίσει ένα ερώτημα Facebook CSV υποβάλλοντας ένα νέο αρχείο CSV.
