	en	fr	es	el	it	de	ar
tweet_bot	Tweet with WeVerify bot	Tweeter avec le bot WeVerify	Tweet con Weverify Bot	Tweet με Weverify Bot	Tweet con bot weverify	Twittern Sie mit dem WeVerify-Bot	غرد مع WeVerify bot 
tweet_account	Tweet with your account	Tweeter avec votre compte	Tweet con su cuenta	Tweet με το λογαριασμό σας	Tweet con il tuo account	Twittern Sie mit Ihrem Konto	غرد مع حسابك
title_infotmationLink	Link information	Information de lien	Información de enlace	Πληροφορίες σύνδεσης	Informazione sul link	Linkinformationen	معلومات الرابط
title_selectedLink	Selected link	Lien sélectionné	Enlace seleccionado	Επιλεγμένος σύνδεσμος	Link selezionato	Ausgewählter Link	رابط محدد
title_author	Author	Auteur	Autor	Συγγραφέας	Autore	Autor	الكاتب
title_name	Name	Nom	Nombre	Ονομα	Nome	Name	الاسم
title_credibility	Credibility	Crédibilité	Credibilidad	Αξιοπιστία	Credibilità	Glaubwürdigkeit	مصداقية
desinformation	Disinformation	Désinformation	Desinformación	Desinformation	Desinformazione	Desinformation	المعلومات المضللة
factchecker	Fact Checker	Factchecker	Corrector de datos	Ελέγχου	Factchecker	Faktenchecker	مدقق معلومات
title_description	Description	Description	Descripción	Περιγραφή	Descrizione	Beschreibung	وصف
textTweet_1	There's a lot of misinformation on 	Il y a beaucoup de désinformation sur	Hay mucha desinformación en 	Υπάρχει μεγάλη παραπληροφόρηση 	C'è molta desinformazione su	Es gibt viele Fehlinformationen	هناك الكثير من المعلومات الخاطئة
textTweet_2	, checkout alternative reading :	, consultez ces sources alternatives :	, consulte estas fuentes alternativas:	, Έλεγχος εναλλακτικής ανάγνωσης:	, Checkout Lettura alternativa:	, casse alternative lektüre:	اطلع على هذه المصادر البديلة
