	en	fr	es	el	it	ar
ct_sna_timeline_tip	Timeline based on creation date retrieved from your query. You can zoom into the timeline with the slider below. You can check the peaks of propagation (calculated as a sum of all shares per day).	Chronologie d'après la date de création extraites de votre requête. Vous pouvez zoomer sur la timeline avec le curseur ci-dessous. Vous pouvez vérifier les pics de propagation (calculé comme la somme de toutes les actions par jour).	Línea de tiempo sobre la base de la fecha de creación recuperada de la consulta. Puede hacer zoom en la línea de tiempo con el cursor abajo. Puede comprobar los picos de propagación (calculado como la suma de todas las acciones por día).	Χρονοδιάγραμμα βάση την ημερομηνία δημιουργίας ανακτώνται από το ερώτημά σας. Μπορείτε να κάνετε ζουμ μέσα στο χρονοδιάγραμμα με το ρυθμιστικό κάτω. Μπορείτε να ελέγξετε τις κορυφές της διάδοσης (που υπολογίζεται ως άθροισμα του συνόλου των μετοχών ανά ημέρα).	Timeline basata sulla data di creazione recuperata dalla tua query. Puoi ingrandire la timeline con il cursore qui sotto. Puoi controllare i picchi di propagazione (calcolati come somma di tutte le azioni al giorno).	يعتمد الجدول الزمني على تاريخ الإنشاء المسترجع من الاستعلام الخاص بك. يمكنك تكبير الجدول الزمني باستخدام شريط التمرير أدناه. يمكنك التحقق من قمم الانتشار (محسوبة كمجموع لجميع المشاركات في اليوم). 
twittersna_tweetnb_tip	Metrics retrieved for your query. If you want to assess the newsworthiness of your query, you can compare with Twitter trends : https://twitter.com/i/trends	Mesures correspondants à votre requête. Si vous voulez vérifier l'intérêt journalistique et la viralité de votre requête, vous pouvez comparer avec les tendances Twitter : https://twitter.com/i/trends	Medidas correspondiente a su búsqueda. Si quiere evaluar el interés periodístico o la viralidad de su búsqueda, puede comparar con las tendencias Twitter : https://twitter.com/i/trends	Mετρήσεις που ανακτήθηκαν για το ερώτημά σας. Αν θέλετε να αξιολογήσετε την αξιοπιστία του ερωτήματός σας, μπορείτε να συγκρίνετε με τις τάσεις του Twitter: https://twitter.com/i/trends	Le metriche recuperate per la tua query. Se vuoi valutare la novità della tua query, puoi confrontare con Twitter Trends: https://twitter.com/i/trends	استرجاع المقاييس لاستعلامك. إذا كنت ترغب في تقييم الأهمية الإخبارية لاستعلامك، فيمكنك المقارنة مع اتجاهات تويتر https://twitter.com/i/trends 
ct_sna_most_retweet_tip	This pie-chart shows the 20 most interactions. Click on a doughnut segment to see the corresponding posts.	Ce graphique montre les 20 utilisateurs les plus retweetés avec leur nombre de shares. Cliquez sur un segment pour voir les posts correspondants.	Este gráfico muestra los 20 usuarios más activos con su número de shares. Haz clic en un segmento para ver los posts correspondientes.	Αυτό το γράφημα πίτας δείχνει τους 20 κορυφαίους χρήστες που έχουν πραγματοποιήσει retweet με τον αριθμό των shares. Κάντε κλικ σε ένα τμήμα πίτας για να δείτε τα αντίστοιχα posts.	Questo grafico a torta mostra i 20 utenti con più retweets col numero di shares. Clicca su un segmento per vedere i posts corrispondenti.	يعرض هذا المخطط الدائري أكثر 20 تفاعلاً. أنقر فوق جزء من المخطط لرؤية المنشورات المقابلة. 
ct_sna_most_likes_tip	This pie-chart shows the top 20 users with most liked posts and their number of likes. Click on a doughnut segment to see the corresponding posts.	.Ce graphique montre les 20 meilleurs utilisateurs dont les messages ont été les plus appréciés ainsi que leur nombre de `` j'aime ''. Cliquez sur un segment pour voir les posts correspondants.	Este gráfico muestra los 20 usuarios principales cuyas publicaciones han sido más apreciadas por su número de ''me gusta''. Haz clic en un segmento para ver los posts correspondientes.	Αυτό το γράφημα πίτας δείχνει τους 20 πρώτους χρήστες με τις πιο δημοφιλείς αναρτήσεις και τον αριθμό των ετικετών "like". Κάντε κλικ σε ένα τμήμα πίτας για να δείτε τα αντίστοιχα posts.	Questo grafico a torta mostra i primi 20 utenti con i post più apprezzati e il loro numero di likes. Clicca su un segmento per vedere i post corrispondenti.	يعرض هذا المخطط الدائري أفضل 20 مستخدماً لديهم أكثر المنشورات إعجاباً وعدد الإعجابات. أنقر فوق جزء من المخطط لرؤية المنشورات المقابلة. 
ct_sna_most_active_tip	This pie-chart shows the top 20 most active users with their number of posts. Click on a doughnut segment to see the corresponding posts.	Ce graphique montre les 20 premiers utilisateurs les plus actifs avec leur nombre de posts. Cliquez sur un segment pour voir les posts correspondants.	Este gráfico muestra los 20 primeros usuarios más activos con su número de posts. Haz clic en un segmento para ver los posts correspondientes.	Αυτό το γράφημα πίτας δείχνει τους 20 πιο ενεργούς χρήστες με τον αριθμό των posts τους. Κάντε κλικ σε ένα τμήμα πίτας για να δείτε τα αντίστοιχα posts.	Questo grafico a torta mostra i primi 20 utenti più attivi con il loro numero di post. Clicca su un segmento di ciambella per vedere i post corrispondenti.	يُظهر هذا المخطط الدائري أكثر 20 مستخدماً نشاطاً مع عدد مشاركاتهم. أنقر فوق جزء من المخطط لرؤية المنشورات المقابلة.
ct_sna_most_mentions_tip	This pie-chart shows the 20 top most mentioned users with their number of mentions. Click on a doughnut segment to see the corresponding posts.	Ce graphique montre les 20 utilisateurs les plus cités avec leur nombre de mentions. Cliquez sur un segment pour voir les posts correspondants.	Este gráfico muestra los 20 usuarios más mencionados con su número de menciones. Haga clic en un segmento para ver los posts correspondientes.	Αυτό το γράφημα πίτας δείχνει τους 20 κορυφαίους χρήστες που έχουν γίνει αναφορά με τον αριθμό των αναφορών τους. Κάντε κλικ σε ένα τμήμα πίτας για να δείτε τα αντίστοιχα posts.	Questo grafico a torta mostra i 20 utenti più menzionati con il loro numero di menzioni. Clicca su un segmento per vedere i post corrispondenti.	يُظهر هذا المخطط الدائري أفضل 20 مستخدماً تمّت الاشارة اليهم مع عدد الإشارات. أنقر فوق جزء من المخطط لرؤية المنشورات المقابلة. 
twittersna_heatmap_tip	The heatmap shows activity per hour. Darker squares show more activity. It may help you to detect bots or coordinated behaviour. Click on a square to see the corresponding posts.	Le graphique indique l'activité par heure. Les carrés plus foncés indiquent une activité plus importante. Cela peut vous aider à détecter les bots ou les comportements coordonnés. Cliquez sur une case pour voir les posts correspondants.	El mapa de calor muestra la actividad por hora. Los cuadros más oscuros muestran más actividad. Puede ayudarte a detectar bots o el comportamiento Haz clic en un cuadrado para ver los posts correspondientes.	Ο χάρτης θερμότητας δείχνει τη δραστηριότητα ανά ώρα. Τα πιο σκοτεινά τετράγωνα δείχνουν περισσότερη δραστηριότητα. Μπορεί να σας βοηθήσει να εντοπίσετε ρομπότ ή συντονισμένη συμπεριφορά. Κάντε κλικ σε ένα τετράγωνο για να δείτε τα αντίστοιχα posts.	La heatmap mostra l'attività all'ora. I quadrati più scuri mostrano più attività. Può aiutarti a rilevare robot o comportamento coordinato. Clicca su un quadrato per vedere i post corrispondenti.	تُظهر الخريطة الحرارية نشاطاً لكل ساعة. تظهر المربعات الداكنة المزيد من النشاط. قد يساعدك على اكتشاف برامج التتبع أو السلوك المنسق. انقر فوق مربع لرؤية المنشورات المقابلة. 
twittersna_hashtag_graph_tip	This graphs shows you the hashtags (and their numbers) retrieved with their co-occurrences between them. Thicker edges show more co-occurences between the hashtags. You can see the corresponding posts by clicking on a node. If you want to see the intersection of two nodes, click on the bigger node then type the second hashtag in the search box.	Ce graphique vous montre les hashtags (et leur nombre) récupérés avec leurs cooccurrences entre eux. Plus un arc est épais, plus il montre de co-occurrences entre les hashtags. Vous pouvez voir les posts correspondants en cliquant sur un nœud. Si vous voulez voir l'intersection de deux nœuds, cliquez sur le plus gros nœud puis écrivez le deuxième hashtag dans la boîte de recherche.	Este gráfico muestra los hashtags (y sus números) recuperados con sus co-ocurrencias entre ellos. Los enlaces más gruesos muestran más co-ocurrencias entre los hashtags. Puedes ver los posts correspondientes clicqueando en un nodo. Si quiere ver la intersección de dos nodos, haga clic en el nodo más grande y luego escriba el segundo hashtag en el cuadro de búsqueda.	Σε αυτά τα γραφήματα εμφανίζονται τα hashtag (και οι αριθμοί τους) που ανακτήθηκαν με τις συν-εμφανίσεις τους μεταξύ τους. Τα παχύτερα άκρα δείχνουν περισσότερες συν-εμφανίσεις μεταξύ των hashtags. Μπορείτε να δείτε τα αντίστοιχα posts κάνοντας κλικ σε έναν κόμβο. Εάν θέλετε να δείτε τη διασταύρωση δύο κόμβων, κάντε κλικ στον μεγαλύτερο κόμβο και, στη συνέχεια, πληκτρολογήστε το δεύτερο hashtag στο πλαίσιο αναζήτησης.	Questo grafico mostra gli hashtag (e i loro numeri) recuperati con le loro co-occorrenze tra loro. I bordi più spessi mostrano più co-occorrenze tra gli hashtag. Puoi vedere i post corrispondenti cliccando su un nodo. Se vuoi vedere l'intersezione di due nodi, clicca sul nodo più grande e poi digita il secondo hashtag nella casella di ricerca.	تُظهر لك هذه الرسوم البيانية الوسوم (وأرقامها) المستردة مع تكراراتها المشتركة بينهما. تُظهر الحواف الأكثر سمكاً المزيد من التكرارات المشتركة بين الوسوم. يمكنك أن ترى المنشورات المقابلة من خلال النقر على عقدة. إذا كنت تريد رؤية تقاطع عقدتين، فانقر فوق العقدة الأكبر ثم اكتب الوسم الثاني في مربع البحث. 
twittersna_wordcloud_tip	This word cloud shows you the top words used in the post collection of your query (without the query words). You can click on each word to see the corresponding posts.	Ce nuage mot vous montre les top mots utilisés dans la collection après de votre requête (sans les mots de la requête). Vous pouvez cliquer sur chaque mot pour voir les messages correspondants.	Esta palabra nube muestra las palabras más utilizados en la recogida posterior de la consulta (sin las palabras de consulta). Puede hacer clic en cada palabra para ver los mensajes correspondientes.	Αυτή η λέξη σύννεφο που δείχνει τις λέξεις κορυφή χρησιμοποιηθεί στη θέση συλλογής του ερωτήματός σας (χωρίς τις λέξεις ερωτήματος). Μπορείτε να κάνετε κλικ σε κάθε λέξη για να δείτε τις αντίστοιχες θέσεις.	Questa nuvola di parole (word cloud) ti mostra le parole più usate nella collezione di post della tua query (senza le parole della query). Puoi cliccare su ogni parola per vedere i post corrispondenti.	تعرض لك سحابة الكلمات هذه أهم الكلمات المستخدمة في مجموعة المنشورات الخاصة باستعلامك (بدون كلمات الاستعلام). يمكنك النقر فوق كل كلمة لرؤية المنشورات المقابلة. 
twittersna_urls_tip	Sorted list of most shared urls in the collection of posts. You can relaunch an Instagram CSV query by submitting a new CSV file.	liste triée des urls plus partagés dans la collection de postes. Vous pouvez relancer une requête CSV en soumettant un Instagram nouveau fichier CSV.	lista ordenada de URL más comunes en la colección de mensajes. Puede relanzar una consulta de Instagram CSV mediante la presentación de un nuevo archivo CSV.	Ταξινομημένη λίστα των πιο κοινόχρηστο urls στη συλλογή των θέσεων. Μπορείτε να ξαναρχίσει ένα ερώτημα Instagram CSV υποβάλλοντας ένα νέο αρχείο CSV.	Elenco ordinato degli URL più condivisi nella raccolta di post. È possibile rilanciare una query Instagram CSV inviando un nuovo file CSV.	قائمة مرتبة لمعظم عناوين url المشتركة في مجموعة المشاركات. يمكنك طلب إعادة تشغيل Instagram CSV عن طريق إرسال ملف CSV جديد. 
