	en	fr	es	el	it	ar	de
ERR_AUTH_UNKNOWN_ERROR	The application has raised an unknown error	L'application a rencontré une erreur inconnue	La aplicación ha generado un error desconocido	Η εφαρμογή έχει προκαλέσει ένα άγνωστο σφάλμα	L'applicazione ha sollevato un errore sconosciuto	رفع التطبيق خطأ غير معروف	Die Anwendung hat einen unbekannten Fehler angesprochen
ERR_AUTH_ABORT_ERROR	The server is not responding	Le service ne répond pas	El servidor no está respondiendo	Ο διακομιστής δεν αποκρίνεται	Il server non risponde	الخادم لا يستجيب	Der Server reagiert nicht
ERR_AUTH_INVALID_PARAMS	Invalid parameters	Paramètres invalides	Parámetros inválidos	Μη έγκυρες παράμετρο	Parametri non validi	معلمات غير صالحة	Ungültige Parameter
ERR_AUTH_BAD_REQUEST	Invalid request sent to the service	La requête envoyée au service est invalide	La solicitud enviada al servicio no es válida	Μη έγκυρη αίτηση αποστάλθηκε στην υπηρεσία	Richiesta non valida inviata al servizio	تم إرسال طلب غير صالح إلى الخدمة	Ungültige Anfrage, die an den Dienst gesendet wurde
ERR_AUTH_SERVER_ERROR	Service not available or in error state	Service indisponible ou en erreur	El servicio no está disponible o disfunciona	Υπηρεσία δεν είναι διαθέσιμη ή σε κατάσταση σφάλματος	Servizio non disponibile o in stato di errore	الخدمة غير متوفرة أو في حالة الخطأ	Service nicht verfügbar oder im Fehlerzustand
ERR_AUTH_INVALID_TOKEN	Authentication token is invalid	Le token d'authentification n'est pas valable	El token de autenticación no es válido	Το πιστοποιητικό αυθεντικοποίησης δεν είναι έγκυρο	Il token di autenticazione non è valido	رمز المصادقة غير صالح	Authentifizierungs -Token ist ungültig
ERR_AUTH_INVALID_CREDENTIALS	Invalid authentication information	Les informations d'authentification ne sont pas valables	La información de autenticación no es válida	Μη έγκυρη πληροφόρηση αυθεντικοποίησης	Informazioni di autenticazione non valide	معلومات المصادقة غير صالحة	Ungültige Authentifizierungsinformationen
ERR_AUTH_INVALID_USER_STATE	User account's state is invalid	L'état du compte utilisateur est invalide	El estado de la cuenta de usuario no es válida	Κατάσταση λογαριασμού χρήστη δεν είναι έγκυρη	Lo stato dell'account utente non è valido	حالة حساب المستخدم غير صالحة	Der Status des Benutzerkontos ist ungültig
ERR_AUTH_USER_EXPIRED	User account is expired	Le compte utilisateur a expiré	La cuenta de usuario ha caducado	Ο λογαριασμός χρήστη έχει λήξει	L'account utente è scaduto	انتهت صلاحية حساب المستخدم	Benutzerkonto ist abgelaufen
ERR_AUTH_SESSION_EXPIRED	Your session has expired	Votre session a expiré	Su sesión ha caducado	Η συνεδρία σας έχει λήξει	la tua sessione è scaduta	انتهت صلاحية جلسة العمل الخاصة بك	Deine Sitzung ist abgelaufen
AUTHCARD_REQUIREAUTH_TEXT	Please login in order to access this service.	Veuillez vous identifier pour accéder au service.	Por favor identifíquese para acceder a este servicio.	Παρακαλώ συνδεθείτε για να αποκτήσετε πρόσβαση σε αυτή την υπηρεσία.	Effettua il login per accedere a questo servizio.	يرجى تسجيل الدخول للوصول إلى هذه الخدمة.	Bitte melden Sie sich an, um auf diesen Dienst zuzugreifen.
