	en	fr	es	el	it	de	ar
navbar_twitter_sna	Twitter SNA.	Twitter SNA.	Twitter SNA.	Twitter SNA.	Twitter-SNA.	Twitter-SNA.	تويتر SNA
navbar_twitter_sna_description	It performs social network analysis on Twitter (available on registration)	Fournit un outil d'analyse de réseau social sur Twitter (sur enregistrement)	Provee una herramiento de análisis de redes sociales en Twitter (disponible con registro)	Η ανάλυση των κοινωνικών δικτύων στο Twitter (διαθέσιμο κατά την εγγραφή)	Esegue l'analisi dei social network su Twitter (disponibile sulla registrazione)	Es führt eine Analyse sozialer Netzwerke auf Twitter durch (verfügbar bei Registrierung).	يقوم بإجراء تحليل للشبكات الاجتماعية على تويتر (متاح عند التسجيل) 
twitterStatsErrorMessage	Please fill the required fields (＊)	Veuillez remplir les champs requis (＊)	Rellene los campos requeridos (＊)	Παρακαλώ συμπληρώστε τα απαιτούμενα πεδία (＊)	Si prega di compilare i campi richiesti (*)	Bitte füllen Sie die erforderlichen Felder aus (＊)	يرجى تعبئة جميع الحقول المطلوبة (*)
twitter_sna_search	Keyword, URL or #	Mot clé, URL ou #	Palabra clave, URL o #	Λέξη-κλειδί, διεύθυνση URL ή #	Parola chiave, URL o #	Schlüsselwort, URL oder #	كلمة مفتاحية، رابط، أو وسم
twitter_sna_not	Words to exclude in the search	Mots à exclure de la requête	Palabras a excluir en la consulta	Λέξεις για εξαίρεση στο ερώτημα	Parole da escludere nella ricerca	Wörter, die bei der Suche ausgeschlossen werden sollen	كلمات لاستبعادها في البحث
twitter_sna_user	Tweeted by	Tweeté par	Twiteado por	Tweet από	Twittato da.	Getwittert von	تم تغيردها من قبل
twitter_sna_from_date	Since	Depuis	Desde	Από	Da quando	Seit	منذ
twitter_sna_until_date	Until	Jusqu'à	Hasta	Εως	Fino a quando	Bis	حتى
twitter_local_time	Local time	Heure locale	Hora local	Τοπική ώρα	Ora locale	Ortszeit	الوقت المحلي
twitter_sna_gmt	GMT	GMT	GMT	GMT	GMT	GMT	بتوقيت غرينيتش
twitter_sna_media	Filters :	Filtres :	Filtros :	Φιλτρα:	Filtri:	Filter:	فلاتر:
twitterStats_media_none	none	aucune	ninguna	κανένα	nessuno	keiner	لا يوجد
twitterStats_media_images	Pictures	Images	Imágenes	εικόνες	Immagini	Bilder	صور
twitterStats_media_videos	Videos	Vidéos	Vídeos	βίντεο	Video.	Videos	فيديوهات
twitterStats_media_medias	media	média	medios de comunicación	μεσο ΜΑΖΙΚΗΣ ΕΝΗΜΕΡΩΣΗΣ	media	Medien	وسائط
twitterStats_media_both	both	les deux	ambos	και ταδύο	entrambi	beide	الاثنين 
twitter_sna_verified	Only verified users	Utilisateurs verifiés uniquement	Usuarios verificados únicamente	Μόνο επαληθευμένοι χρήστες	Solo utenti verificati	Nur verifizierte Benutzer	المستخدمون الذين تم التحقق منهم فقط
twitterStats_verified_no	no	non	no	ναι	no	nein	لا
twitterStats_verified_yes	yes	oui	si	οχι	sì	ja	نعم
lang_choices	Language	Langue	Idioma	Γλώσσα	Lingua	Sprache	اللغة
lang_all	none	aucun	ninguno	κανένα	nessuno	keiner	لا يوجد
lang_fr	French	Français	Francés	Γαλλικά	francese	Französisch	الفرنسية
lang_en	English	Anglais	Inglés	Αγγλικά	inglese	Englisch	الإنجليزية
lang_es	Spanish	Espagnol	Español	Ισπανικά	spagnolo	Spanisch	الإسبانية
lang_ar	Arabic	Arabe	Árabe	Αράβικα	Arabo	Arabisch	العربية
lang_de	German	Allemand	Alemán	Γερμανικά	Tedesco	Deutsch	الألمانية
lang_it	Italian	Italien	Italiano	Ιταλικά	italiano	Italienisch	الإيطالية
lang_id	Indonesian	Indonésien	Indonesio	Ινδονησιακά	indonesiano	Indonesisch	الإندونيسية
lang_pt	Portuguese	Portugais	Portugués	Πορτογαλικά	portoghese	Portuguish	البرتغالية
lang_ko	Korean	Coréen	Coreano	Κορεάτικα	coreano	Koreanisch	الكورية
lang_tr	Turkish	Turc	Turco	Τούρκικα	Turco	Türkisch	التركية
lang_ru	Russian	Russe	Ruso	Ρώσικα	russo	Russisch	الروسية
lang_nl	Dutch	Néerlandais	Holandés	Ολλανδικά	olandese	Niederländisch	الهولندية
lang_hi	Hindi	Indou	Hindú	Χίντι	hindi	Hindi	الهندية
lang_no	Norwegian	Norvégien	Noruego	Νορβηγικά	norvegese	Norwegisch	النرويجية
lang_sv	Swedish	Suédois	Sueco	Σουηδικά	svedese	Schwedisch	السويدية
lang_fi	Finnish	Finlandais	Finlandés	Φινλανδικά	finlandese	Finnisch	الفنلندية
lang_da	Danish	Danois	Danés	Δανικά	danese	dänisch	الدنماركية
lang_pl	Polish	Polonais	Polaco	Πολωνικά	polacco	Polieren	البولندية
lang_hu	Hungarian	Hongrois	Húngaro	Ούγγρικα	ungherese	ungarisch	الهنغارية
lang_fa	Farsi	Persan	Farsi	Φαρσί	Farsi.	Farsi	الفارسية
lang_he	Hebrew	Hébreu	Hebreo	Εβραϊκά	ebraico	hebräisch	العبرية
lang_ur	Urdu	Ourdou	Urdu	Ουρντού	Urdu	Urdu	الأردية
lang_th	Thai	Thaï	Tailandés	Ταϊλανδέζικα	tailandese	Thailändisch	التايلندية
button_submit	Submit	Envoyer	Enviar	Υποβολή	Invia	Einreichen	أرسل
default_sna_error	Twitter analysis failed due to an unknown cause.	L'analyse de Twitter a été interrompue pour une raison inconnue.	El análisis de Twitter se ha interrumpido por una causa desconocida.	Η ανάλυση του Twitter απέτυχε λόγω άγνωστης αιτίας.	L'analisi di Twitter non è riuscita a causa di una causa sconosciuta.	Die Twitter-Analyse ist aus unbekannter Ursache fehlgeschlagen.	فشل تحليل تويتر لسبب غير معروف. 
twitterSnaErrorMessage	An error occurred while processing tweets	Une erreur s'est produite lors du traitement des tweets	Se produjo un error en el procesamiento de tweets	Παρουσιάστηκε σφάλμα κατά την επεξεργασία των tweets	Si è verificato un errore durante l'elaborazione dei tweet	Beim Verarbeiten von Tweets ist ein Fehler aufgetreten	حدث خطأ أثناء معالجة التغريدات	
top_users_pie_chart_title	Most active users	Utilisateurs les plus actifs	Usuarios más activos	Πιο ενεργοί χρήστες	Utenti più attivi	Die aktivsten Benutzer	المستخدمين الأكثر نشاطاً 
mention_cloud_chart_title	Most mentioned users	Compte les plus mentionnés	Usuarios más mencionados	Λογαριασμοί που έχουν αναφερθεί πιο πολύ	Utenti più menzionati	Am häufigsten erwähnte Benutzer	أكثر المستخدمين الذين تم ذكرهم
user_time_chart_title	Propagation timeline	Frise chronologique de propagation	Línea de tiempo de propagación	Χρονοδιάγραμμα διάδοσης	Timeline della propagazione	Zeitleiste der Ausbreitung	الجدول الزمني للانتشار
hashtag_graph_title	Most associated hashtags	Hashtags les plus associés	Hashtags más Asociados	Πιο σχετικά hashtag	Hashtags più associati	Die meisten zugehörigen Hashtags	التغريدات الأكثر ارتباطاً 
retweets_cloud_chart_title	Most retweeted users	Utilisateurs les plus retweetés	Usuarios más retweeteados	Χρήστες που έχουν γίνει περισσότερο retweet	Utenti più rettificati	Die meisten retweeteten Benutzer	أكثر المستخدمين المعاد تغريدهم
likes_cloud_chart_title	Most liked users	Utilisateurs les plus likés	Usuarios con más likes	Χρήστες που εχουν γίνεi περισσότερο like	Gli utenti più piatti	Die beliebtesten Benutzer	أكثر المستخدمين اعجاباً
top_words_cloud_chart_title	Most used words in tweets	Mots les plus utilisés dans les tweets	Palabras más utilizadas en tweets	Λέξεις που χρησιμοποιήθηκαν πιο πολύ στα tweets	Parole più usate in tweet	Am häufigsten verwendete Wörter in Tweets	أكثر الكلمات استخداماً في التغريدات
tweetCounter_title	Tweets number	Nombre de tweets	Número de Tweets	Αριθμος tweets	Tweets Number.	Tweets-Nummer	عدد التغريدات
sosem_graph_title	Socio-semantic graph (hashtags and mentioned users)	Graphe socio-sémantique (hashtags et utilisateurs mentionnés)	Grafo socio-semantico (hashtags y usuarios mencionados)	Κοινωνικο-σημασιολογικό γράφημα (hashtag και αναφερόμενοι χρήστες)	Grafico socio-semantico (hashtags e utenti menzionati)	Sozio-semantischer Graph (Hashtags und erwähnte Benutzer)	الرسم البياني الاجتماعي الدلالي (الوسوم والمستخدمين المذكورين) 
sosem_4mode_graph_title	Socio-semantic graph (hashtags, URLs, mentions, quoted RTs, unedited RTs, replies)	Graphe socio-sémantique (hashtags, URLs, mentions, RTs, RTs avec commentaire, réponses)	Grafo socio-semantico (hashtags, URLs, mencionados, RTs, RTs con comentarios, respuestas)	Κοινωνικο σημασιολογικό γράφημα (hashtag, URLs, αναφορές, RT, RT με σχόλιο, απαντήσεις)	Grafico socio-semantico (hashtags, URL, menzioni, RTS quotato, RTS non modificati, risposte)	Sozio-semantisches Diagramm (Hashtags, URLs, Erwähnungen, zitierte RTs, unbearbeitete RTs, Antworten)	الرسم البياني الاجتماعي الدلالي (الوسوم، عناوين URL، الإشارات، التغريدات المقتبسة، التغريدات غير المحررة، الردود) 
bubble_chart_title	Bubble chart of top 100 most active users	Graphique des 100 comptes les plus actifs	Gráfico de las 100 cuentas más activas	Διάγραμμα φυσαλίδων με τους 100 πιο ενεργούς λογαριασμούς	Grafico a bolle dei primi 100 utenti più attivi	Blasendiagramm der 100 aktivsten Benutzer	مخطط فقاعي لأكثر 100 مستخدم نشط 
user_graph_title	User accounts graph	Graphe de comptes utilisateurs	Grafo de cuentas de usuarios	ράφημα λογαριασμών χρηστών	Account utente Grafico	Diagramm der Benutzerkonten	رسم بياني لحسابات المستخدمين
export_graph_title	Interaction graph	Graphe des interactions	Grafo de interacciones	Διάγραμμα αλληλεπίδρασης	Grafico di interazione	Interaktionsdiagramm	الرسم البياني للتفاعل
heatmap_chart_title	Heatmap of tweets distribution	Cartographie d'activité	Mapa de actividad	Heatmap της διανομής των tweets	Heatmap della distribuzione dei tweet	Heatmap der Tweets-Verbreitung	خريطة حرارية لتوزع التغريدات 
elastic_url	Url	Url	Url	Σύνδεσμος	URL	Url	رابط
elastic_count	Number	Nombre	Candidad	Αριθμός	Numero	Nummer	رقم
twittersna_result_username	Username	Nom d'utilisateur	Nombre de usuario	Όνομα χρήστη	Nome utente	Nutzername	اسم المستخدة
