	en	fr	es	el	it	ar	de
keyframes_tip	With the contextual menu (right click) you can query multiple reverse image search engines or use the magnifier and forensic tools on each keyframe.	Avec le menu contextuel (clic droit) vous pouvez utiliser plusieurs moteurs de recherches d'images ou utiliser la loupe ou l'outil forensic sur chaque image clé.	Con el menú contextual (clic derecho), puede Ud. utilizar varios motores de busqueda inversa de imagen o utilizar la lupa o la herramienta de forensic sobre cada imagen clave	Με το αναδυόμενο μενού (δεξί κλικ), μπορείτε να υποβάλετε ερώτημα πολλαπλές αντίστροφες αναζητήσεις εικόνων ή να χρησιμοποιήσετε το μεγεθυντικό φακό και τo εργαλείo ανάλυσης αυθεντικότητας για κάθε χαρακτηριστικό καρέ.	Con il menu contestuale (fare clic con il tasto destro del mouse) è possibile interrogare più motori di ricerca dell'immagine inversa o utilizzare l'ingrandimento e gli strumenti forensi su ciascun fotogramma chiave.	باستخدام القائمة السياقية (النقر بزر الماوس الأيمن)، يمكنك الاستعلام عن محركات البحث عن الصور العكسية المتعددة أو استخدام أدوات Machifier وTorensic على كل إطار مفتاح.	Mit dem Kontextmenü (rechtsklick) können Sie mehrere umgekehrte Image -Suchmaschinen abfragen oder die Lupen und forensischen Tools für jeden Keyframe verwenden.
magnifier_tip	If you click on the button below the image url will be automatically copied to your clipboard. Then you will be redirected to Google Reverse Search website. You just have to paste and click on search by image url to find out more information about your image.	Si vous cliquez sur le bouton ci-dessous, l’URL de l’image sera automatiquement copiée dans votre presse-papiers. Ensuite, vous serez redirigé vers le site de recherche d'images inversées Google. Vous avez juste à coller et cliquez sur ''recherche par image'' pour en savoir plus sur votre image.	Si hace clic en el botón debajo de la url de la imagen se copiará automáticamente a su portapapeles. A continuación, será redirigido a Google Reverse Search sitio web. Sólo tienes que pegar y hacer clic en la búsqueda la imagen para obtener más información sobre su imagen.	Εάν επιλέξετε το πλήκτρο από κάτω, το url της εικόνας θα αντιγραφεί αυτόματα στο πρόχειρο σας. Στη συνέχεια θα μεταφερθείτε στην ιστοσελίδα της αντίστροφης οπτικής αναζήτησης Google. Απλά πρέπει να επικολλήσετε και να επιλέξετε την αναζήτηση με url εικόνας για να βρείτε περισσότερες πληροφορίες σχετικά με την εικόνα σας.	Se fai clic sul pulsante sotto l'URL dell'immagine verrà automaticamente copiato negli Appunti. Quindi verrai reindirizzato al sito web di Google Reverse Search. Devi solo incollare e clicca sulla ricerca da URL dell'immagine per scoprire ulteriori informazioni sulla tua immagine.	إذا قمت بالنقر فوق الزر الموجود أسفل عنوان URL، فسيتم نسخ عنوان URL تلقائياً إلى الحافظة. ثم سيتم إعادة توجيهك إلى محرك جوجل للبحث العكسي. يجب عليك فقط اللصق والنقر على Search by Image URL لمعرفة المزيد من المعلومات حول صورتك.	Wenn Sie auf die Schaltfläche unterhalb der Bild -URL klicken, wird automatisch in Ihre Zwischenablage kopiert. Anschließend werden Sie auf die Google Reverse Search -Website weitergeleitet. Sie müssen nur einfügen und auf Suchen nach Bild -URL klicken, um weitere Informationen zu Ihrem Bild zu erhalten.
thumbnails_tip	If you click on the images below they will be used by the reverse search engine(s) you selected.	Si vous cliquez sur les images ci-dessous, elles seront utilisées par le(s) moteur(s) de recherche inversé(s) que vous avez sélectionné.	Si hace clic en las imágenes de abajo, serán utilizadas por el motor de búsqueda inversa seleccionado.	Αν επιλέξετε τις παρακάτω εικόνες θα χρησιμοποιηθούν από την μηχανή(ες)  αντίστροφης οπτικής αναζήτησης που έχετε επιλέξει.	Se fai clic sulle immagini sotto, verranno utilizzati dai motori di ricerca inversa selezionati.	إذا قمت بالنقر فوق الصور أدناه، فسيتم البحث عنها بواسطة محرك البحث العكسي الذي حددته.	Wenn Sie auf die folgenden Bilder klicken, werden sie von der von Ihnen ausgewählten Reverse -Suchmaschine verwendet.
twittersna_timeline_tip	Timeline of the tweets retrieved from your query. You can zoom into the timeline with the slider below. You can check the peaks of propagation (calculated as a sum of all retweets per day).	Chronologie des tweets extraits de votre requête. Vous pouvez zoomer dans la frise chronologique avec le curseur en dessous. Vous pouvez vérifier les pics de propagation (calculés comme une somme de tous les retweets par jour).	Línea de tiempo de los tweets recuperados con su consulta. Puede hacer un zoom en la línea de tiempo con el deslizador de la parte inferior. Puede comprobar los picos de propagación (calculados como la suma de todos los retweets por día).	Χρονοδιάγραμμα των tweets που ανακτήθηκαν από το ερώτημά σας. Μπορείτε να κάνετε ζουμ στο χρονοδιάγραμμα με το ρυθμιστικό παρακάτω. Μπορείτε να ελέγξετε τις κορυφές διάδοσης (υπολογίζονται ως άθροισμα όλων των retweets ανά ημέρα).	Timeline dei Tweets recuperati dalla tua query. Puoi ingrandire la timeline con il cursore qui sotto. Puoi controllare i picchi di propagazione (calcolati come somma di tutti i retweet al giorno).	الجدول الزمني للتغريدات المسترجعة من استفسارك. يمكنك تكبير الخط الزمني باستخدام شريط التمرير أدناه. يمكنك التحقق من قمم الانتشار (احتسبت كمجموع إعادة التغريد يومياً).	Zeitleiste der Tweets, die aus Ihrer Abfrage abgerufen wurden. Sie können mit dem Schieberegler unten in die Zeitachse zoomen. Sie können die Ausbreitungsspitzen überprüfen (berechnet als Summe aller Retweets pro Tag).
twittersna_tweetnb_tip	Metrics retrieved for your query. If you want to assess the newsworthiness of your query, you can compare with Twitter trends : https://twitter.com/i/trends	Mesures correspondants à votre requête. Si vous voulez vérifier l'intérêt journalistique et la viralité de votre requête, vous pouvez comparer avec les tendances Twitter : https://twitter.com/i/trends	Medidas correspondiente a su búsqueda. Si quiere evaluar el interés periodístico o la viralidad de su búsqueda, puede comparar con las tendencias Twitter : https://twitter.com/i/trends	Mετρήσεις που ανακτήθηκαν για το ερώτημά σας. Αν θέλετε να αξιολογήσετε την αξιοπιστία του ερωτήματός σας, μπορείτε να συγκρίνετε με τις τάσεις του Twitter: https://twitter.com/i/trends	Le metriche recuperate per la tua query. Se vuoi valutare la novità della tua query, puoi confrontare con Twitter Trends: https://twitter.com/i/trends	القياسات المقابلة لطلبك. إذا كنت ترغب في التحقق من الاهتمام الصحفي وفعالية طلبك، يمكنك المقارنة مع اتجاهات تويتر:  https://twitter.com/i/trends	Metriken, die für Ihre Anfrage abgerufen wurden. Wenn Sie die Newsworthiness Ihrer Abfrage bewerten möchten, können Sie sich mit Twitter -Trends vergleichen: https://twitter.com/i/trends
twittersna_most_retweet_tip	This pie-chart shows the top 20 retweeted users with their number of retweets. Click on a pie segment to see the corresponding tweets.	Ce graphique montre les 20 utilisateurs les plus retweetés avec leur nombre de retweets. Cliquez sur un segment pour voir les tweets correspondants.	Este gráfico muestra los 20 usuarios más activos con su número de retweets. Haz clic en un segmento para ver los tweets correspondientes.	Αυτό το γράφημα πίτας δείχνει τους 20 κορυφαίους χρήστες που έχουν πραγματοποιήσει retweet με τον αριθμό των retweets. Κάντε κλικ σε ένα τμήμα πίτας για να δείτε τα αντίστοιχα tweets.	Questo grafico a torta mostra i primi 20 utenti rettificati con il loro numero di retweet. Clicca su un segmento torta per vedere i tweet corrispondenti.	يعرض هذا الرسم أفضل 20 حسابا أعيد تغريدها مع عدد التغريدات المعادة. انقر على أي خانة لرؤية التغريدات المقابلة.	Dieser Pie-Chart zeigt die Top 20 retweeteten Benutzer mit ihrer Anzahl von Retweets. Klicken Sie auf ein Pie -Segment, um die entsprechenden Tweets anzuzeigen.
twittersna_most_likes_tip	This pie-chart shows the top 20 users with most liked tweets and their number of likes. Click on a pie segment to see the corresponding tweets.	Ce graphique montre les 20 premiers utilisateurs dont les tweets ont été les plus appréciés avec leur nombre de ''j'aime''. Cliquez sur un segment pour voir les tweets correspondants.	Este gráfico muestra los primeros 20 usuarios cuyos tweets han sido más apreciados con su número de ''me gusta''. Haz clic en un segmento para ver los tweets correspondientes.	Αυτό το γράφημα πίτας δείχνει τους κορυφαίους 20 χρήστες με τα πιο δημοφιλή tweets και τον αριθμό των likes. Κάντε κλικ σε ένα τμήμα πίτας για να δείτε τα αντίστοιχα tweets.	Questo grafico a torta mostra i primi 20 utenti con i tweet più piatti e il loro numero di simpatini. Clicca su un segmento torta per vedere i tweet corrispondenti.	يعرض هذا الجدول أفضل 20 مستخدمًا حازت تغريداتهم على أعلى عدد من الإعجابات. انقر على أي خانة لرؤية التغريدات المقابلة.	Dieser Pie-Chart zeigt die Top 20 Benutzer mit den meisten beliebten Tweets und deren Anzahl von Likes. Klicken Sie auf ein Pie -Segment, um die entsprechenden Tweets anzuzeigen.
twittersna_most_active_tip	This pie-chart shows the top 20 most active users with their number of tweets. Click on a pie segment to see the corresponding tweets.	Ce graphique montre les 20 premiers utilisateurs les plus actifs avec leur nombre de tweets. Cliquez sur un segment pour voir les tweets correspondants.	Este gráfico muestra los 20 primeros usuarios más activos con su número de tweets. Haz clic en un segmento para ver los tweets correspondientes.	Αυτό το γράφημα πίτας δείχνει τους 20 πιο ενεργούς χρήστες με τον αριθμό των tweets τους. Κάντε κλικ σε ένα τμήμα πίτας για να δείτε τα αντίστοιχα tweets.	Questo grafico a torta mostra i 20 migliori utenti più attivi con il loro numero di tweet. Clicca su un segmento torta per vedere i tweet corrispondenti.	يعرض هذا الجدول أفضل 20 حسابا نشطًا مع عدد التغريدات. انقر على أي شريحة لرؤية التغريدات المقابلة.	Dieser Pie-Chart zeigt die 20 aktivsten Benutzer mit ihrer Anzahl von Tweets. Klicken Sie auf ein Pie -Segment, um die entsprechenden Tweets anzuzeigen.
twittersna_most_mentions_tip	This pie-chart shows the 20 top most mentioned users with their number of mentions. Click on a pie segment to see the corresponding tweets.	Ce graphique montre les 20 utilisateurs les plus cités avec leur nombre de mentions. Cliquez sur un segment pour voir les tweets correspondants.	Este gráfico muestra los 20 usuarios más mencionados con su número de menciones. Haga clic en un segmento para ver los tweets correspondientes.	Αυτό το γράφημα πίτας δείχνει τους 20 κορυφαίους χρήστες που έχουν γίνει αναφορά με τον αριθμό των αναφορών τους. Κάντε κλικ σε ένα τμήμα πίτας για να δείτε τα αντίστοιχα tweets.	Questo grafico a torta mostra i 20 migliori utenti più menzionati con il loro numero di menzioni. Clicca su un segmento torta per vedere i tweet corrispondenti.	يعرض هذا الجدول 20 من أفضل الحسابات التي تمت الإشارة لها ( mentioned) مع عدد الإشارات الخاصة بها. انقر على أي شريحة لرؤية التغريدات المقابلة.	Dieser Kuchen-Chart zeigt die 20 am meisten genannten Benutzer mit ihrer Anzahl von Erwähnungen. Klicken Sie auf ein Pie -Segment, um die entsprechenden Tweets anzuzeigen.
twittersna_heatmap_tip	The heatmap shows activity per hour. Darker squares show more activity. It may help you to detect bots or coordinated behaviour. Click on a square to see the corresponding tweets.	Le graphique indique l'activité par heure. Les carrés plus foncés indiquent une activité plus importante. Cela peut vous aider à détecter les bots ou les comportements coordonnés. Cliquez sur une case pour voir les tweets correspondants.	El mapa de calor muestra la actividad por hora. Los cuadros más oscuros muestran más actividad. Puede ayudarte a detectar bots o el comportamiento Haz clic en un cuadrado para ver los tweets correspondientes.	Ο χάρτης θερμότητας δείχνει τη δραστηριότητα ανά ώρα. Τα πιο σκοτεινά τετράγωνα δείχνουν περισσότερη δραστηριότητα. Μπορεί να σας βοηθήσει να εντοπίσετε ρομπότ ή συντονισμένη συμπεριφορά. Κάντε κλικ σε ένα τετράγωνο για να δείτε τα αντίστοιχα tweets.	Il calore mostra l'attività all'ora. I quadrati più scuri mostrano più attività. Può aiutarti a rilevare robot o comportamento coordinato. Clicca su un quadrato per vedere i tweet corrispondenti.	تظهر الخريطة الحرارية مستوى النشاط في الساعة. المربعات الداكنة تظهر المزيد من النشاط. قد يساعدك ذلك على اكتشاف الروبوتات أو السلوك المنسق. انقر على أي مربع لرؤية التغريدات المقابلة.	Die Heatmap zeigt Aktivität pro Stunde. Dunkle Quadrate zeigen mehr Aktivität. Es kann Ihnen helfen, Bots oder koordiniertes Verhalten zu erkennen. Klicken Sie auf ein Quadrat, um die entsprechenden Tweets anzuzeigen.
