	en	fr	es	el	ro
twitterStatsErrorMessage	Please fill the required fields (＊)	Veuillez remplir les champs requis (＊)	Rellene los campos requeridos (＊)	Παρακαλώ συμπληρώστε τα απαιτούμενα πεδία (＊)	Completați câmpurile obligatorii (*)
twitter_sna_title	Facebook CSV analysis	Analyse Facebook CSV	El análisis Facebook CSV	Ανάλυση Facebook CSV	Analiza Facebook CSV.
twitter_sna_search	Keyword, URL or #	Mot clé, URL ou #	Palabra clave, URL o #	Λέξη-κλειδί, διεύθυνση URL ή #	Cuvânt cheie, URL sau #
twitter_sna_not	Words to exclude in the query	Mots à exclure de la requête	Palabras a excluir en la consulta	Λέξεις για εξαίρεση στο ερώτημα	Cuvinte pentru a exclude în interogare
twitter_sna_user	Posted by (Facebook account name)	Publié par (nom de compte Facebook)	Publicado por (nombre de la cuenta de Facebook)	Αναρτήθηκε από (όνομα του λογαριασμού στο Facebook)	Postat de (numele contului Facebook)
twitter_sna_from_date	Since	Depuis	Desde	Από	De cand
twitter_sna_until_date	Until	Jusqu'à	Hasta	Εως	Pana cand
twitter_local_time	Local time	Heure locale	Hora local	Τοπική ώρα	Ora locala
twitter_sna_gmt	GMT	GMT	GMT	GMT	GMT
twitter_sna_media	Filters :	Filtres :	Filtros :	Φιλτρα:	Filtre:
twitterStats_media_none	none	aucune	ninguna	κανένα	nimic
twitterStats_media_images	pictures	images	fotos	εικόνες	poze
twitterStats_media_videos	videos	vidéos	vídeo	βίντεο	videoclipuri
twitterStats_media_medias	media	média	medios de comunicación	μεσο ΜΑΖΙΚΗΣ ΕΝΗΜΕΡΩΣΗΣ	mass-media
twitterStats_media_both	both	les deux	ambos	και τα δύο	ambele
twitter_sna_verified	Verified users Only :	Utilisateurs verifiés uniquement :	Usuarios verificados únicamente :	Μόνο επαληθευμένοι χρήστες:	Doar utilizatori verificati
twitterStats_verified_no	no	non	no	ναι	nu
twitterStats_verified_yes	yes	oui	si	οχι	da
lang_choices	Language :	Langue :	Lengua :	Γλώσσα:	Limba :
lang_all	none	aucun	ninguno	κανένα	nici unul
lang_fr	French	Français	Francés	Γαλλικά	Franceza
lang_en	English	Anglais	Inglés	Αγγλικά	Engleză
lang_es	Spanish	Espagnol	Español	Ισπανικά	Spaniolă
lang_ar	Arabic	Arabe	Árabe	Αράβικα	Araba
lang_de	German	Allemand	Alemán	Γερμανικά	Germana
lang_it	Italian	Italien	Italiano	Ιταλικά	Italiană
lang_id	Indonesian	Indonésien	Indonesio	Ινδονησιακά	Indoneza
lang_pt	Portuguese	Portugais	Portugués	Πορτογαλικά	Portugheza
lang_ko	Korean	Coréen	Coreano	Κορεάτικα	Coreană
lang_tr	Turkish	Turc	Turco	Τούρκικα	Turca
lang_ru	Russian	Russe	Ruso	Ρώσικα	Rusă
lang_nl	Dutch	Néerlandais	Holandés	Ολλανδικά	Olandeză
lang_hi	Hindi	Indou	Hindú	Χίντι	hindi
lang_no	Norwegian	Norvégien	Noruego	Νορβηγικά	norvegian
lang_sv	Swedish	Suédois	Sueco	Σουηδικά	Suedeza
lang_fi	Finnish	Finlandais	Finlandés	Φινλανδικά	finlandeză
lang_da	Danish	Danois	Danés	Δανικά	Daneza
lang_pl	Polish	Polonais	Polaco	Πολωνικά	Poloneza
