	en	fr	es	el	it	ar
cardheader_ct_parameters	CSV SNA.	CSV SNA.	CSV SNA.	CSV SNA.	CSV SNA.	CSV SNA.
navbar_ct_sna_description	It performs social network analysis from Crowdtangle export	Fournit un outil d'analyse de réseau social à partir d'export de Crowdtangle	Provee una herramiento de análisis de redes sociales de Crowdtangle	Η ανάλυση των κοινωνικών δικτύων στο Crowdtangle (διαθέσιμο κατά την εγγραφή)	Esegue l'analisi dei social network da crowdtangle export	تقوم بتحليل الشبكة الاجتماعية من تصدير Crowdtangle
navbar_ct_sna	Facebook & Instagram CSV analysis	Analyse CSV Facebook et Instagram	Análisis CSV de Facebook e Instagram	Ανάλυση CSV Facebook & Instagram	Analisi di Facebook e Instagram CSV	تحليل CSV لفيسبوك وإنستغرام
sna_time_chart_title	Propagation timeline	Frise chronologique de propagation	Línea de tiempo de propagación	Χρονοδιάγραμμα διάδοσης	Timeline della propagazione	الجدول الزمني للانتشار
sna_local_time	Local time	Heure locale	Hora local	Τοπική ώρα	Ora locale	التوقيت المحلي
shared_cloud_chart_title	Most shared users	Utilisateurs les plus partagés	Usuarios más compartidos	Οι περισσότεροι από κοινού οι χρήστες	Utenti più condivisi	أكثر المستخدمين التي تمت مشاركتهم 
likes_cloud_chart_title	Most liked users	Utilisateurs les plus likés	La mayoría de los usuarios gustado	Χρήστες που εχουν γίνεi περισσότερο like	Gli utenti più piatti	أكثر المستخدمين إعجاباً 
top_users_pie_chart_title	Most active users	Utilisateurs les plus actifs	Usuarios más activos	Πιο ενεργοί χρήστες	Utenti più attivi	أكثر المستخدمين تفاعلاً
mention_cloud_chart_title	Most mentioned accounts	Compte les plus mentionnés	Usuarios más mencionados	Λογαριασμοί που έχουν αναφερθεί πιο πολύ	Conti più menzionati	أكثر المستخدمين ذكراً
ct_heatmap_chart_title	Heatmap of posts distribution	Heatmap de distribution de messages	Heatmap de la distribución de mensajes	Θερμικός χάρτης της διανομής των δημοσιεύσεων	Heatmap della distribuzione dei post	خريطة توزيع المنشورات 
ct_counter_title	Metrics	Metriques	Métrica	Μετρήσεις	Metrica	المقاييس
ct_sna_publications	Publications	Publications	Publicaciones	δημοσιεύσεις	Pubblicazioni	المنشورات
ct_sna_total_interactions	Total interactions	Total des interactions	Interacciones totales	Σύνολο αλληλεπιδράσεων	Interazioni totali.	مجموع التفاعلات
ct_sna_likes	Likes	Likes	Likes	Likes	Piace	إعجابات
ct_sna_comments	Comments	Commentaires	Comentarios	Σχόλια	Commenti	تعليقات
ct_sna_shares	Shares	Shares	Shares	Shares	Condivisioni	مشاركات
ct_sna_no_data	No data available	Aucune donnée disponible	Datos no disponibles	Δεν υπάρχουν διαθέσιμα δεδομένα	Nessun dato disponibile	بيانات غير متوفرة
ct_sna_result_date	Date	Date	Fecha	Ημερομηνία	Data	تاريخ
ct_sna_result_username	Username	Nom d'utilisateur	Nombre de usuario	Όνομα χρήστη	Nome utente	اسم المستخدم
ct_sna_result_post	Post description	Description du message	Descripción de la publicación	περιγραφή δημοσίευσης	Post Descrizione	وصف المنشور
ct_sna_total_interactions	Total interactions	Total des interactions	Interacciones totales	Σύνολο αλληλεπιδράσεων	Interazioni totali.	مجموع التفاعلات
ct_user_time_chart_title	Propagation timeline	Frise chronologique de propagation	Línea de tiempo de propagación	Χρονοδιάγραμμα διάδοσης	Timeline della propagazione	الجدول الزمني للانتشار
sna_result_go_to_post	Go to Link	Ouvrir le Link	Ir a Link	Μετάβαση στο Link	Vai a LINK.	اذهب إلى الرابط
sna_result_selected_posts	Selected posts	Posts selectionnés	Posts seleccionados	Επιλεγμένα posts	Post selezionati	المنشورات المختارة
ct_bubble_chart_title	Bubble chart of top 100 most active accounts	Graphique des 100 comptes les plus actifs	Gráfico de las 100 cuentas más activas	Διάγραμμα φυσαλίδων με τους 100 πιο ενεργούς λογαριασμούς	Grafico a bolle dei primi 100 conti più attivi	مخطط لأكثر 100 حساب نشاطاً
ct_sna_result_word	Word	Mot	Palabra	Λέξη	Parola	كلمة
