	en	fr	es	el	ro	
aboutsna_title	What is the Twitter SNA component ?	Qu'est-ce que le module Twitter SNA ?	¿Qué es el componente TwitterSNA?	Temp	Ce este componenta SNA Twitter?	
aboutsna_intro	The Twitter SNA component, built by the WeVerify EU-funded project (weverify.eu), aims to empower journalists, fact-checkers and researchers in analysing small and medium size disinformation campaigns on Twitter by providing them with automated data analysis and visualisation on keywords, hashtags and urls queries. For regular users, queries are limited to the last 15000 tweets. Restrict your query time interval if your inital request exceeds that number. This tool runs on a development server and is NOT intended for large queries.	Le module Twitter SNA, élaboré par le projet WeVerify financé par l'UE (weverify.eu), vise à donner aux journalistes, aux vérificateurs de faits et aux chercheurs les moyens d'analyser des campagnes de désinformation sur Twitter en leur fournissant une analyse et une visualisation automatisées des données sur les mots clés, les hashtags et les urls. Pour les utilisateurs réguliers, les requêtes sont limitées aux 15 000 derniers tweets. Limitez votre intervalle de temps de requête si votre demande initiale dépasse ce nombre. Cet outil fonctionne sur un serveur de développement et n'est PAS destiné aux requêtes volumineuses.	El componente Twitter SNA, elaborado por el proyecto WeVerify financiado por la UE (weverify.eu), tiene como objetivo capacitar a los periodistas, verificadores de hechos e investigadores en el análisis de campañas de desinformación de pequeño y mediano tamaño en Twitter, proporcionándoles análisis de datos automatizados y visualización de palabras clave, hashtags y urls. Para los usuarios habituales, las consultas se limitan a los últimos 15.000 tweets. Restringe el intervalo de tiempo de la consulta si su petición inicial excede ese número. Esta herramienta funciona en un servidor de desarrollo y NO está pensada para consultas voluminosas.	Η συνιστώσα Twitter SNA, που δημιουργήθηκε από το έργο που χρηματοδοτείται από την WeVerify (weverify.eu), στοχεύει στην ενδυνάμωση δημοσιογράφων, ελεγκτών γεγονότων και ερευνητών στην ανάλυση εκστρατειών παραπληροφόρησης μικρού και μεσαίου μεγέθους στο Twitter, παρέχοντάς τους αυτοματοποιημένη ανάλυση δεδομένων και οπτικοποίηση σε λέξεις-κλειδιά , ερωτήματα hashtag και url. Για τακτικούς χρήστες, τα ερωτήματα περιορίζονται στα τελευταία 15000 tweets. Περιορίστε το χρονικό διάστημα ερωτήσεών σας εάν το αρχικό σας αίτημα υπερβαίνει αυτόν τον αριθμό. Αυτό το εργαλείο εκτελείται σε διακομιστή ανάπτυξης και ΔΕΝ προορίζεται για μεγάλα ερωτήματα.	Componenta Twitter SNA, construită de proiectul WeVerify finanțat de UE (weverify.eu), își propune să împuternicească jurnaliștii, verificatorii de fapt și cercetătorii în analiza campaniilor de dezinformare de dimensiuni mici și mijlocii pe Twitter, oferindu-le analize automate de date și vizualizare pe cuvinte cheie. , interogări prin hashtaguri și adrese URL. Pentru utilizatorii obișnuiți, interogările sunt limitate la ultimele 15000 de tweets. Restricționați intervalul de timp al interogării dacă solicitarea inițială depășește numărul respectiv. Acest instrument rulează pe un server de dezvoltare și NU este destinat pentru interogări mari.	
aboutsna_count	Metrics: TwitterSNA provides a cumulative count of tweets, unedited retweets and likes corresponding to your query	TwitterSNA fournit un décompte cumulé des tweets, retweets non édités et likes correspondant à votre requête	TwitterSNA proporciona un recuento acumulativo de tweets, retweets no editados y likes correspondientes a su consulta.	Μετρήσεις: Το TwitterSNA παρέχει αθροιστική καταμέτρηση tweets, μη επεξεργασμένων retweets και likes που αντιστοιχούν στο ερώτημά σας	Valori: TwitterSNA oferă un număr cumulat de tweet-uri, retweets needitate și aprecieri corespunzătoare interogării dvs.	
aboutsna_timeline	Timeline : The first graphic is a timeline displaying the temporal propagation view of your query. You can restrict the time interval through the slider below the timeline. On each day, the timeline highlights a cumulative number of tweets and retweets.	Le premier graphique est une ligne de temps montrant la propagation temporelle de votre requête. Vous pouvez limiter l'intervalle de temps grâce au curseur situé sous la ligne de temps. Chaque jour, la ligne de temps met en évidence un nombre cumulé de tweets et de retweets.	El primer gráfico es una línea de tiempo que muestra la vista de la propagación temporal de su consulta. Puede restringir el intervalo de tiempo mediante el control deslizante que se encuentra debajo de la línea de tiempo. En cada día, la línea de tiempo destaca un número acumulativo de tweets y retweets.	Χρονολόγιο: Το πρώτο γραφικό είναι ένα χρονοδιάγραμμα που εμφανίζει την προβολή χρονικής διάδοσης του ερωτήματός σας. Μπορείτε να περιορίσετε το χρονικό διάστημα μέσω του ρυθμιστικού κάτω από το χρονοδιάγραμμα. Κάθε μέρα, το χρονοδιάγραμμα επισημαίνει έναν αθροιστικό αριθμό δημοσιεύσεων και κοινόχρηστων αναρτήσεων.	Cronologie: Primul grafic este o cronologie care afișează vizualizarea de propagare temporală a interogării dvs. Puteți restricționa intervalul de timp prin glisorul sub cronologie. În fiecare zi, cronologia evidențiază un număr cumulat de tweets și retweets.	
aboutsna_most_RT	Most RTs : this pie chart shows the top 20 unedited retweets, corresponding to your query. You can click on each segment to display the corresponding tweets and sort them on each column.	Frise chronologique : ce graphique montre les 20 principaux retweets non édités, correspondant à votre requête. Vous pouvez cliquer sur chaque segment pour afficher les tweets correspondants et les trier sur chaque colonne.	Línea de tiempo : este gráfico muestra los 20 principales retweets sin editar, correspondientes a su consulta. Puedes hacer clic en cada segmento para mostrar los tweets correspondientes y ordenarlos en cada columna.	Τα περισσότερα RT: αυτό το γράφημα πίτας δείχνει τα κορυφαία 20 μη επεξεργασμένα retweets, που αντιστοιχούν στο ερώτημά σας. Μπορείτε να κάνετε κλικ σε κάθε τμήμα για να εμφανίσετε τα αντίστοιχα tweets και να τα ταξινομήσετε σε κάθε στήλη.	Cele mai multe RTS: Această diagramă de pieptene arată primele 20 de retweeturi needitate, care corespund interogării dvs. Puteți face clic pe fiecare segment pentru a afișa Tweets corespunzător și pentru a le sorta pe fiecare coloană.	most RT explanation
aboutsna_most_liked	Most liked : this pie chart shows the top 20 most liked tweets. You can click on each segment to display the corresponding tweets and sort them on each column.	Ce graphique montre les 20 tweets les plus appréciés. Vous pouvez cliquer sur chaque segment pour afficher les tweets correspondants et les trier sur chaque colonne.	Este gráfico muestra los 20 tweets más populares. Puedes hacer clic en cada segmento para mostrar los tweets correspondientes y ordenarlos en cada columna.	Πιο αρέσει: αυτό το γράφημα πίτας δείχνει τα 20 πιο δημοφιλή tweets. Μπορείτε να κάνετε κλικ σε κάθε τμήμα για να εμφανίσετε τα αντίστοιχα tweets και να τα ταξινομήσετε σε κάθε στήλη.	Cele mai multe like-uri: acest grafic circular prezintă primele 20 de tweet-uri cele mai apreciate. Puteți face clic pe fiecare segment pentru a afișa tweet-urile corespunzătoare și a le sorta pe fiecare coloană.	
aboutsna_most_active	Most active accounts : this pie chart shows the top 20 most active accounts.You can click on each segment to display the corresponding tweets and sort them on each column.	Ce diagramme montre les 20 comptes les plus actifs. Vous pouvez cliquer sur chaque segment pour afficher les tweets correspondants et les trier sur chaque colonne.	Este gráfico muestra las 20 cuentas más activas. Puedes hacer clic en cada segmento para mostrar los tweets correspondientes y ordenarlos en cada columna.	Πιο ενεργοί λογαριασμοί: αυτό το γράφημα πίτας δείχνει τους 20 πιο ενεργούς λογαριασμούς. Μπορείτε να κάνετε κλικ σε κάθε τμήμα για να εμφανίσετε τα αντίστοιχα tweets και να τα ταξινομήσετε σε κάθε στήλη.	Cele mai multe conturi active: Această diagramă plăcintă arată primele 20 de conturi active. Puteți face clic pe fiecare segment pentru a afișa Tweets corespunzător și pentru a le sorta pe fiecare coloană.	
aboutsna_most_mentions	Most mentioned accounts : this pie chart shows the top 20 most mentioned accounts.You can click on each segment to display the corresponding tweets and sort them on each column.	Ce diagramme présente les 20 comptes les plus cités. Vous pouvez cliquer sur chaque segment pour afficher les tweets correspondants et les trier sur chaque colonne.	Este gráfico muestra las 20 cuentas más mencionadas. Puede hacer clic en cada segmento para mostrar los tweets correspondientes y ordenarlos en cada columna.	Λογαριασμοί με τις περισσότερες αναφορές: αυτό το γράφημα πίτας εμφανίζει τους 20 πιο δημοφιλείς λογαριασμούς. Μπορείτε να κάνετε κλικ σε κάθε τμήμα για να εμφανίσετε τα αντίστοιχα tweets και να τα ταξινομήσετε σε κάθε στήλη.	Cele mai multe conturi menționate: Această diagramă PIE prezintă primele 20 de conturi menționate. Puteți face clic pe fiecare segment pentru a afișa Tweets corespunzător și pentru a le sorta pe fiecare coloană.	
aboutsna_bubblegraph	Bubblegraph : this graphic shows the top 100 most active accounts by account creation date and by number of followers. Rhombus nodes are verified accounts. Circle nodes are unverified by Twitter. Size and colour of nodes reflects the volume of tweets matching your query. You can click on any account to see the corresponding tweets.	Ce graphique présente les 100 comptes les plus actifs par date de création de compte et par nombre d'adeptes. Les nœuds en losange sont des comptes vérifiés. Les nœuds en cercle ne sont pas vérifiés par Twitter. La taille et la couleur des nœuds reflètent le volume de tweets correspondant à votre requête. Vous pouvez cliquer sur n'importe quel compte pour voir les tweets correspondants.	Este gráfico muestra las 100 cuentas más activas por fecha de creación de la cuenta y por número de seguidores. Los nodos romboidales son cuentas verificadas. Los nodos círculares no están verificados por Twitter. El tamaño y color de los nodos refleja el volumen de tweets que coinciden con su consulta. Puedes hacer clic en cualquier cuenta para ver los tweets correspondientes.	Bubblegraph: αυτό το γράφημα δείχνει τους κορυφαίους 100 πιο ενεργούς λογαριασμούς κατά ημερομηνία δημιουργίας λογαριασμού και κατά αριθμό οπαδών. Οι κόμβοι Rhombus είναι επαληθευμένοι λογαριασμοί. Οι κύκλοι κύκλων δεν επαληθεύονται από το Twitter. Το μέγεθος και το χρώμα των κόμβων αντικατοπτρίζει τον όγκο των tweets που ταιριάζουν με το ερώτημά σας. Μπορείτε να κάνετε κλικ σε οποιονδήποτε λογαριασμό για να δείτε τα αντίστοιχα tweets.	BUBBLEGRAPH: Acest grafic prezintă primele 100 de conturi cele mai active prin data creării contului și numărul de adepți. Nodurile de rombus sunt conturi verificate. Nodurile de cerc sunt neconfirmate de Twitter. Dimensiunea și culoarea nodurilor reflectă volumul de tweets care se potrivesc cu interogarea dvs. Puteți face clic pe orice cont pentru a vedea Tweets corespunzător.	
aboutsna_heatmap	Heatmap of propagation : the heatmap displays the tweets matching your query on a week diagram. Darker cells show highest activity. By clicking on each cell, you can see the corresponding tweets. This feature may help you to find out bot accounts tweeting periodically or coordinated behaviour to launch a disinformation campaign.	La carte de fréquentation affiche les tweets correspondant à votre requête sur un diagramme hebdomadaire. Les cellules foncées présentent la plus forte activité. En cliquant sur chaque cellule, vous pouvez voir les tweets correspondants. Cette fonction peut vous aider à découvrir les comptes de robots qui tweetent périodiquement ou un comportement coordonné pour lancer une campagne de désinformation.	El mapa de calor muestra los tweets que coinciden con su consulta en un diagrama reducido a una semana. Las celdas más oscuras muestran la mayor actividad. Haciendo clic en cada celda, puedes ver los tweets correspondientes. Esta característica puede ayudarte a encontrar cuentas de bot tuiteando periódicamente o un comportamiento coordinado para lanzar una campaña de desinformación.	Heatmap διάδοσης: ο χάρτης θερμότητας εμφανίζει τα tweets που ταιριάζουν με το ερώτημά σας σε ένα διάγραμμα εβδομάδας. Τα πιο σκούρα κελιά εμφανίζουν την υψηλότερη δραστηριότητα. Κάνοντας κλικ σε κάθε κελί, μπορείτε να δείτε τα αντίστοιχα tweets. Αυτή η δυνατότητα μπορεί να σας βοηθήσει να ανακαλύψετε περιοδικά tweets λογαριασμών bot ή συντονισμένη συμπεριφορά για να ξεκινήσετε μια καμπάνια παραπληροφόρησης.	Heatmap de propagare: Heatmap afișează Tweets care se potrivesc cu interogarea dvs. pe o saptamana schema. Celulele mai întunecate prezintă cea mai înaltă activitate. Făcând clic pe fiecare celulă, puteți vedea Tweets corespunzător. Această caracteristică vă poate ajuta să aflați conturile BOT Tweeting de comportament periodic sau coordonat pentru a lansa o campanie de dezinformare.	
