	en	fr	es	el	it
twitterStatsErrorMessage	Please fill the required fields (＊)	Veuillez remplir les champs requis (＊)	Rellene los campos requeridos (＊)	Παρακαλώ συμπληρώστε τα απαιτούμενα πεδία (＊)	Si prega di compilare i campi richiesti (*)
twitter_sna_title	Facebook & Instagram CSV analysis	Analyse des réseaux sociaux sur Twitter (beta)	Twitter Análisis de redes sociales (beta)	Ανάλυση κοινωνικού δικτύου Twitter (beta)	Analisi di Facebook e Instagram CSV
twitter_sna_search	Keyword, URL or #	Mot clé, URL ou #	Palabra clave, URL o #	Λέξη-κλειδί, διεύθυνση URL ή #	Parola chiave, URL o #
twitter_sna_not	Words to exclude in the search	Mots à exclure de la requête	Palabras a excluir en la consulta	Λέξεις για εξαίρεση στο ερώτημα	Parole da escludere nella ricerca
twitter_sna_user	Tweeted by (Twitter account name)	Tweeté par (Nom de compte Twitter)	Twiteado por (Nombre de una cuenta de Twitter)	Tweet από (Όνομα λογαριασμού Twitter)	Tweettato da (Nome account Twitter)
twitter_sna_from_date	Since	Depuis	Desde	Από	Da quando
twitter_sna_until_date	Until	Jusqu'à	Hasta	Εως	Fino a quando
twitter_local_time	Local time	Heure locale	Hora local	Τοπική ώρα	Ora locale
twitter_sna_gmt	GMT	GMT	GMT	GMT	GMT
twitter_sna_media	Filters :	Filtres :	Filtros :	Φιλτρα:	Filtri:
twitterStats_media_none	none	aucune	ninguna	κανένα	nessuno
twitterStats_media_images	pictures	images	fotos	εικόνες	immagini
twitterStats_media_videos	videos	vidéos	vídeo	βίντεο	Video
twitterStats_media_medias	media	média	medios de comunicación	μεσο ΜΑΖΙΚΗΣ ΕΝΗΜΕΡΩΣΗΣ	media
twitterStats_media_both	both	les deux	ambos	και ταδύο	entrambi
twitterStats_media_both	both	les deux	ambos	και τα δύο	entrambi
twitter_sna_verified	Verified users Only :	Utilisateurs verifiés uniquement :	Usuarios verificados únicamente :	Μόνο επαληθευμένοι χρήστες:	Solo utenti verificati:
twitterStats_verified_no	no	non	no	ναι	no
twitterStats_verified_yes	yes	oui	si	οχι	sì
lang_choices	Language :	Langue :	Lengua :	Γλώσσα:	Lingua :
lang_all	none	aucun	ninguno	κανένα	nessuno
lang_fr	French	Français	Francés	Γαλλικά	Francese
lang_en	English	Anglais	Inglés	Αγγλικά	Inglese
lang_es	Spanish	Espagnol	Español	Ισπανικά	Spagnolo
lang_ar	Arabic	Arabe	Árabe	Αράβικα	Arabo
lang_de	German	Allemand	Alemán	Γερμανικά	Tedesco
lang_it	Italian	Italien	Italiano	Ιταλικά	Italiano
lang_id	Indonesian	Indonésien	Indonesio	Ινδονησιακά	Indonesiano
lang_pt	Portuguese	Portugais	Portugués	Πορτογαλικά	Portoghese
lang_ko	Korean	Coréen	Coreano	Κορεάτικα	Coreano
lang_tr	Turkish	Turc	Turco	Τούρκικα	Turco
lang_ru	Russian	Russe	Ruso	Ρώσικα	Russo
lang_nl	Dutch	Néerlandais	Holandés	Ολλανδικά	olandese
lang_hi	Hindi	Indou	Hindú	Χίντι	Hindi
lang_no	Norwegian	Norvégien	Noruego	Νορβηγικά	Norvegese
lang_sv	Swedish	Suédois	Sueco	Σουηδικά	Dvedese
lang_fi	Finnish	Finlandais	Finlandés	Φινλανδικά	Finlandese
lang_da	Danish	Danois	Danés	Δανικά	Danese
lang_pl	Polish	Polonais	Polaco	Πολωνικά	Polacco
lang_hu	Hungarian	Hongrois	Húngaro	Ούγγρικα	Ungherese
lang_fa	Farsi	Persan	Farsi	Φαρσί	Persiano
lang_he	Hebrew	Hébreu	Hebreo	Εβραϊκά	Ebraico
lang_ur	Urdu	Ourdou	Urdu	Ουρντού	Urdu
lang_th	Thai	Thaï	Tailandés	Ταϊλανδέζικα	Tailandese
button_submit	Submit	Envoyer	Enviar	Υποβολή	Invia
default_sna_error	Twitter analysis failed due to an unknown cause.	L'analyse de Twitter a été interrompue pour une raison inconnue.	El análisis de Twitter se ha interrumpido por una causa desconocida.	Η ανάλυση του Twitter απέτυχε λόγω άγνωστης αιτίας.	L'analisi di Twitter non è riuscita per causa sconosciuta.
twitterSnaErrorMessage	An error occurred while processing tweets	Une erreur s'est produite lors du traitement des tweets	Se produjo un error en el procesamiento de tweets	Παρουσιάστηκε σφάλμα κατά την επεξεργασία των tweets	Si è verificato un errore durante l'elaborazione dei tweet
top_users_pie_chart_title	Most active users	Utilisateurs les plus actifs	Usuarios más activos	Πιο ενεργοί χρήστες	Utenti più attivi
mention_cloud_chart_title	Most mentioned accounts	Compte les plus mentionnés	Usuarios más mencionados	Λογαριασμοί που έχουν αναφερθεί πιο πολύ	Conti più menzionati
user_time_chart_title	Propagation timeline	Frise chronologique de propagation	Línea de tiempo de propagación	Χρονοδιάγραμμα διάδοσης	Timeline della propagazione
hashtag_graph_title	Most associated hashtags	Hashtags les plus associés	Hashtags más Asociados	Πιο σχετικά hashtag	Hashtags più associati
retweets_cloud_chart_title	Most shared users	Utilisateurs les plus partagés	Usuarios más compartidos	Οι περισσότεροι κοινόχρηστοι χρήστες retweet	Utenti più condivisi
likes_cloud_chart_title	Most liked users	Utilisateurs les plus likés	Usuarios más retweeteados	Χρήστες που εχουν γίνεi περισσότερο like	Gli utenti con più like
top_words_cloud_chart_title	Most used words in tweets	Mots les plus utilisés dans les tweets	Palabras más utilizadas en tweets	Λέξεις που χρησιμοποιήθηκαν πιο πολύ στα tweets	Parole più usate in tweet
tweetCounter_title	Metrics	Metriques	Métrica	Μετρήσεις	Metrica
sosem_graph_title	Socio-semantic graph (hashtags and mentioned users)	Graphe socio-sémantique (hashtags et utilisateurs mentionnés)	Grafo socio-semantico (hashtags y usuarios mencionados)	Κοινωνικο-σημασιολογικό γράφημα (hashtag και αναφερόμενοι χρήστες)	Grafico socio-semantico (hashtags e utenti menzionati)
sosem_4mode_graph_title	Socio-semantic graph (hashtags, URLs, mentions, RTs with comment, replies)	Graphe socio-sémantique (hashtags, URLs, mentions, RTs avec commentaire, réponses)	Grafo socio-semantico (hashtags, URLs, mencionados, RTs con comentarios, respuestas)	Κοινωνικο σημασιολογικό γράφημα (hashtag, URLs, αναφορές, RT με σχόλιο, απαντήσεις)	Grafico socio-semantico (hashtags, URL, menzioni, RTS con commento, risposte)
