	en	fr	es	el	ro
twitterStatsErrorMessage	Please fill the required fields (＊)	Veuillez remplir les champs requis (＊)	Rellene los campos requeridos (＊)	Παρακαλώ συμπληρώστε τα απαιτούμενα πεδία (＊)	Vă rugăm să completați câmpurile obligatorii (*)
twitter_sna_title	Instagram CSV analysis	Analyse Instagram CSV	El análisis Instagram CSV	Ανάλυση Instagram CSV	Analiza Instagram CSV
twitter_sna_search	Keyword, URL or #	Mot clé, URL ou #	Palabra clave, URL o #	Λέξη-κλειδί, διεύθυνση URL ή #	Cuvinte cheie, URL-ul sau #
twitter_sna_not	Words to exclude in the query	Mots à exclure de la requête	Palabras a excluir en la consulta	Λέξεις για εξαίρεση στο ερώτημα	Cuvinte de exclus in interogare
twitter_sna_user	Posted by (Instagram account name)	Publié par (nom de compte Instagram)	Publicado por (nombre de la cuenta de Instagram)	Αναρτήθηκε από (όνομα του λογαριασμού Instagram)	Postat de (Instagram nume de cont)
twitter_sna_from_date	Since	Depuis	Desde	Από	De cand
twitter_sna_until_date	Until	Jusqu'à	Hasta	Εως	Pana cand
twitter_local_time	Local time	Heure locale	Hora local	Τοπική ώρα	Ora locala
twitter_sna_gmt	GMT	GMT	GMT	GMT	GMT
twitter_sna_media	Filters :	Filtres :	Filtros :	Φιλτρα:	Filtre:
twitterStats_media_none	none	aucune	ninguna	κανένα	nici unul
twitterStats_media_images	pictures	images	fotos	εικόνες	poze
twitterStats_media_videos	videos	vidéos	vídeo	βίντεο	Videoclipuri
twitterStats_media_medias	media	média	medios de comunicación	μεσο ΜΑΖΙΚΗΣ ΕΝΗΜΕΡΩΣΗΣ	mass-media
twitterStats_media_both	both	les deux	ambos	και τα δύο	ambii
twitter_sna_verified	Verified users Only :	Utilisateurs verifiés uniquement :	Usuarios verificados únicamente :	Μόνο επαληθευμένοι χρήστες:	Doar utilizatorii verificati
twitterStats_verified_no	no	non	no	ναι	Nu
twitterStats_verified_yes	yes	oui	si	οχι	da
lang_choices	Language :	Langue :	Lengua :	Γλώσσα:	Limba :
lang_all	none	aucun	ninguno	κανένα	nici unul
lang_fr	French	Français	Francés	Γαλλικά	franceză
lang_en	English	Anglais	Inglés	Αγγλικά	Engleză
lang_es	Spanish	Espagnol	Español	Ισπανικά	Spaniolă
lang_ar	Arabic	Arabe	Árabe	Αράβικα	arabă
lang_de	German	Allemand	Alemán	Γερμανικά	germană
lang_it	Italian	Italien	Italiano	Ιταλικά	Italiană
lang_id	Indonesian	Indonésien	Indonesio	Ινδονησιακά	indoneziană
lang_pt	Portuguese	Portugais	Portugués	Πορτογαλικά	portugheză
lang_ko	Korean	Coréen	Coreano	Κορεάτικα	coreeană
lang_tr	Turkish	Turc	Turco	Τούρκικα	turcă
lang_ru	Russian	Russe	Ruso	Ρώσικα	Rusă
lang_nl	Dutch	Néerlandais	Holandés	Ολλανδικά	olandeză
lang_hi	Hindi	Indou	Hindú	Χίντι	hindi
lang_no	Norwegian	Norvégien	Noruego	Νορβηγικά	norvegiană
lang_sv	Swedish	Suédois	Sueco	Σουηδικά	suedeză
lang_fi	Finnish	Finlandais	Finlandés	Φινλανδικά	finlandeză
lang_da	Danish	Danois	Danés	Δανικά	daneză
lang_pl	Polish	Polonais	Polaco	Πολωνικά	poloneză
lang_hu	Hungarian	Hongrois	Húngaro	Ούγγρικα	maghiară
lang_fa	Farsi	Persan	Farsi	Φαρσί	farsi
lang_he	Hebrew	Hébreu	Hebreo	Εβραϊκά	ebraică
lang_ur	Urdu	Ourdou	Urdu	Ουρντού	urdu
lang_th	Thai	Thaï	Tailandés	Ταϊλανδέζικα	thailandeză
button_submit	Submit	Envoyer	Enviar	Υποβολή	Trimite
default_sna_error	Instagram analysis failed due to an unknown cause.	L'analyse de Instagram a été interrompue pour une raison inconnue.	El análisis de Instagram se ha interrumpido por una causa desconocida.	Η ανάλυση του Instagram απέτυχε λόγω άγνωστης αιτίας.	Analiza Instagram a eșuat din cauza unei cauze necunoscute.
twitterSnaErrorMessage	An error occurred while processing posts	Une erreur est survenue lors du traitement de messages	Se ha producido un error durante el procesamiento de mensajes	Ένα σφάλμα κατά την επεξεργασία των μηνυμάτων	A apărut o eroare în timpul procesării mesajelor
top_users_pie_chart_title	Most active users	Utilisateurs les plus actifs	Usuarios más activos	Πιο ενεργοί χρήστες	Cei mai mulți utilizatori activi
mention_cloud_chart_title	Most mentioned accounts	Compte les plus mentionnés	Usuarios más mencionados	Λογαριασμοί που έχουν αναφερθεί πιο πολύ	Cele mai multe conturi menționate mai sus
user_time_chart_title	Propagation timeline	Frise chronologique de propagation	Línea de tiempo de propagación	Χρονοδιάγραμμα διάδοσης	cronologie de propagare
hashtag_graph_title	Most associated hashtags	Hashtags les plus associés	Hashtags más Asociados	Πιο σχετικά hashtag	Cele mai multe hashtagurile asociate
retweets_cloud_chart_title	Most shared users	Utilisateurs les plus partagés	Usuarios más compartidos	Οι περισσότεροι από κοινού οι χρήστες	Userii cu cele mai multe share-uri
likes_cloud_chart_title	Most liked users	Utilisateurs les plus likés	La mayoría de los usuarios gustado	Χρήστες που εχουν γίνεi περισσότερο like	Utilizatorii cu cele mai multe like-uri
top_words_cloud_chart_title	Most used words in posts	La plupart des mots utilisés dans les messages	La mayoría de las palabras usadas en los mensajes	Οι περισσότεροι που χρησιμοποιούνται λέξεις δημοσιεύσεις	Cele mai multe cuvinte utilizate în posturi
tweetCounter_title	Logistics	Logistique	logística	Επιμελητεία	Logistică
